key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c minor	[1.0, 0.0, 0.495, 0.431, 0.0, 0.089, 0.256, 0.827, 0.176, 0.217, 0.026, 0.22]	0.0	57.0	57.0	1	20	19
E- major	[0.506, 0.0, 0.136, 1.0, 0.0, 0.346, 0.494, 0.123, 0.272, 0.593, 0.383, 0.012]	57.0	71.0	0.75	20	24	4
c minor	[0.242, 0.0, 0.227, 0.121, 0.0, 0.0, 0.03, 1.0, 0.061, 0.0, 0.0, 0.227]	71.0	84.0	1.0	24	29	5
A- major	[0.334, 0.103, 0.032, 0.669, 0.0, 0.088, 0.0, 0.079, 1.0, 0.0, 0.23, 0.0]	84.0	103.0	4.0	29	33	4
b- minor	[0.387, 0.583, 0.0, 0.278, 0.0, 0.94, 0.055, 0.0, 0.0, 0.663, 1.0, 0.0]	103.0	111.0	1.0	33	35	2
A- major	[0.343, 0.124, 0.038, 0.744, 0.0, 0.105, 0.0, 0.095, 1.0, 0.0, 0.276, 0.0]	111.0	127.0	1.0	35	39	4
G- major	[0.0, 1.0, 0.0, 0.0, 0.0, 0.116, 0.782, 0.0, 0.289, 0.0, 0.334, 0.087]	127.0	136.0	1.0	39	43	4
A major	[0.0, 1.0, 0.0, 0.006, 0.0, 0.019, 0.185, 0.0, 0.134, 0.673, 0.0, 0.131]	136.0	162.0	4.0	43	49	6
a minor	[0.235, 0.102, 0.0, 0.0, 0.163, 0.041, 0.082, 0.0, 0.0, 1.0, 0.0, 0.01]	162.0	176.0	1.0	49	53	4
f minor	[1.0, 0.0, 0.0, 0.0, 0.296, 0.444, 0.0, 0.0, 0.926, 0.889, 0.0, 0.0]	176.0	184.0	4.0	53	55	2
G- major	[0.715, 0.0, 0.0, 0.143, 0.0, 1.0, 0.0, 0.0, 0.904, 0.287, 0.0, 0.0]	184.0	188.0	1.0	55	56	1
f minor	[1.0, 0.365, 0.077, 0.077, 0.077, 0.961, 0.154, 0.128, 0.462, 0.077, 0.538, 0.077]	188.0	208.0	3.0	56	61	5
c minor	[0.141, 0.0, 0.494, 0.0, 0.0, 0.659, 0.0, 0.612, 1.0, 0.0, 0.0, 0.318]	208.0	227.5	1.5	61	67	6
a minor	[0.235, 0.0, 0.353, 0.0, 1.0, 0.279, 0.0, 0.221, 0.426, 0.353, 0.0, 0.426]	227.5	244.0	1.5	67	73	6
F major	[0.622, 0.044, 0.178, 0.0, 1.0, 0.178, 0.0, 0.311, 0.244, 0.356, 0.0, 0.356]	244.0	259.0	3.0	73	78	5
c minor	[0.533, 0.067, 0.8, 0.0, 0.267, 1.0, 0.0, 0.4, 0.133, 0.267, 0.0, 0.667]	259.0	269.5	3.0	78	81	3
A- major	[0.875, 0.5, 0.625, 0.75, 0.0, 1.0, 0.0, 0.375, 0.75, 0.0, 0.125, 0.75]	269.5	277.0	1.5	81	84	3
F major	[1.0, 0.083, 0.042, 0.292, 0.208, 0.958, 0.0, 0.667, 0.417, 0.333, 0.292, 0.0]	277.0	292.0	3.0	84	89	5
c minor	[0.171, 0.0, 0.343, 0.0, 0.0, 1.0, 0.0, 0.743, 0.743, 0.114, 0.0, 0.2]	292.0	301.0	1.5	89	92	3
d minor	[0.114, 0.314, 0.229, 0.0, 0.686, 0.171, 0.0, 0.886, 0.171, 1.0, 0.971, 0.086]	301.0	313.0	1.5	92	96	4
a minor	[0.17, 0.064, 0.383, 0.0, 1.0, 0.298, 0.0, 0.064, 0.362, 0.511, 0.255, 0.255]	313.0	325.0	1.5	96	100	4
F major	[0.431, 0.031, 0.123, 0.0, 1.0, 0.246, 0.0, 0.215, 0.169, 0.215, 0.0, 0.246]	325.0	340.0	3.0	100	105	5
c minor	[0.5, 0.062, 1.0, 0.0, 0.375, 0.938, 0.0, 0.375, 0.125, 0.25, 0.0, 0.625]	340.0	350.5	3.0	105	108	3
A- major	[1.0, 0.667, 0.556, 1.0, 0.0, 1.0, 0.0, 0.444, 0.889, 0.0, 0.111, 0.667]	350.5	359.5	1.5	108	111	3
c minor	[0.859, 0.0, 0.174, 0.44, 0.0, 0.1, 0.216, 1.0, 0.232, 0.108, 0.05, 0.033]	359.5	398.0	1.5	111	122	11
