key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a minor	[0.649, 0.027, 0.708, 0.143, 0.882, 1.0, 0.182, 0.104, 0.518, 0.923, 0.331, 0.552]	0.0	28.0	28.0	1	8	7
F major	[0.625, 0.0, 0.0, 0.0, 0.25, 0.75, 0.0, 1.0, 0.0, 0.0, 0.625, 0.0]	28.0	30.0	2.0	8	8	0
d minor	[0.0, 0.8, 0.0, 0.0, 0.6, 0.2, 0.0, 0.2, 0.0, 1.0, 0.0, 0.0]	30.0	32.0	2.0	8	9	1
a minor	[0.686, 0.0, 0.448, 0.046, 0.647, 0.529, 0.05, 0.046, 0.199, 1.0, 0.195, 0.41]	32.0	64.0	2.0	9	17	8
C major	[0.759, 0.103, 0.897, 0.138, 0.655, 0.345, 0.138, 1.0, 0.0, 0.517, 0.069, 0.276]	64.0	73.0	2.0	17	19	2
e minor	[0.0, 0.0, 0.0, 0.5, 0.0, 0.25, 0.25, 0.0, 0.0, 0.5, 0.0, 1.0]	73.0	74.0	1.0	19	19	0
f minor	[1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.667, 0.167, 0.167, 0.167, 0.0]	74.0	76.0	1.0	19	20	1
g minor	[0.75, 0.0, 1.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.75, 0.25, 0.25]	76.0	78.0	1.0	20	20	0
c minor	[0.333, 0.0, 0.667, 0.0, 0.0, 1.0, 0.0, 0.833, 0.167, 0.167, 0.0, 0.167]	78.0	80.0	1.0	20	21	1
C major	[0.593, 0.148, 1.0, 0.0, 0.667, 0.593, 0.074, 0.741, 0.0, 0.963, 0.0, 0.074]	80.0	88.0	2.0	21	23	2
E major	[0.0, 0.037, 0.074, 0.222, 0.333, 0.0, 0.259, 0.0, 0.296, 0.259, 0.0, 1.0]	88.0	96.0	1.0	23	25	2
a minor	[0.677, 0.0, 0.774, 0.194, 0.935, 0.935, 0.258, 0.0, 0.129, 1.0, 0.226, 0.806]	96.0	108.0	1.0	25	28	3
F major	[0.875, 0.0, 0.0, 0.0, 0.25, 0.75, 0.0, 1.0, 0.0, 0.0, 0.875, 0.0]	108.0	110.0	2.0	28	28	0
d minor	[0.0, 0.667, 0.5, 0.0, 1.0, 0.333, 0.0, 0.167, 0.0, 1.0, 0.0, 0.0]	110.0	113.0	2.0	28	29	1
a minor	[0.706, 0.105, 0.355, 0.053, 0.925, 0.763, 0.044, 0.0, 0.649, 1.0, 0.092, 0.745]	113.0	144.0	1.0	29	37	8
d minor	[0.0, 0.2, 0.2, 0.2, 1.0, 0.0, 0.0, 0.8, 0.0, 0.8, 0.0, 0.0]	144.0	146.0	2.0	37	37	0
B- major	[0.417, 0.0, 0.25, 1.0, 0.0, 0.667, 0.167, 0.333, 0.167, 0.667, 0.0, 0.167]	146.0	151.0	2.0	37	38	1
C major	[1.0, 0.0, 0.107, 0.107, 0.714, 0.214, 0.0, 0.857, 0.0, 0.286, 0.071, 0.214]	151.0	157.0	1.0	38	40	2
a minor	[0.415, 0.267, 0.385, 0.015, 1.0, 0.489, 0.015, 0.0, 0.37, 0.904, 0.037, 0.496]	157.0	204.0	1.0	40	51	11
