key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a minor	[0.153, 0.0, 0.045, 0.0, 0.267, 0.079, 0.0, 0.0, 0.05, 0.277, 0.0, 0.129]	0.0	14.0	14.0	1	8	7
E major	[0.0, 0.014, 0.0, 0.063, 0.315, 0.0, 0.049, 0.0, 0.21, 0.056, 0.0, 0.294]	14.0	22.0	8.0	8	12	4
a minor	[0.2, 0.0, 0.057, 0.029, 0.171, 0.0, 0.0, 0.0, 0.114, 0.157, 0.0, 0.271]	22.0	28.0	6.0	12	15	3
A major	[0.0, 0.176, 0.031, 0.0, 0.37, 0.0, 0.008, 0.0, 0.08, 0.206, 0.0, 0.13]	28.0	40.0	12.0	15	21	6
E major	[0.0, 0.03, 0.0, 0.042, 0.333, 0.0, 0.048, 0.0, 0.125, 0.054, 0.0, 0.369]	40.0	48.0	8.0	21	25	4
A major	[0.0, 0.155, 0.04, 0.0, 0.366, 0.0, 0.007, 0.0, 0.079, 0.182, 0.0, 0.172]	48.0	62.0	14.0	25	32	7
a minor	[0.148, 0.0, 0.0, 0.0, 0.37, 0.0, 0.0, 0.0, 0.074, 0.185, 0.0, 0.222]	62.0	64.0	2.0	32	33	1
C major	[0.351, 0.0, 0.052, 0.0, 0.17, 0.046, 0.0, 0.309, 0.0, 0.021, 0.0, 0.052]	64.0	72.0	8.0	33	37	4
A major	[0.0, 0.186, 0.045, 0.0, 0.367, 0.0, 0.0, 0.0, 0.057, 0.216, 0.0, 0.129]	72.0	84.0	12.0	37	43	6
a minor	[0.159, 0.0, 0.053, 0.0, 0.258, 0.106, 0.0, 0.0, 0.015, 0.356, 0.0, 0.053]	84.0	92.0	8.0	43	46	3
