0,1.0,c,1,m,2
1.0,2.5,c,1,m,0
2.5,3.0,c,1,m,2
3.0,3.5,c,2,m,1
3.5,4.0,c,2,m7,1
4.0,6.0,c,1,m,2
6.0,7.0,c,1,m,1
7.0,7.5,c,1,m,2
7.5,8.0,c,5,D7,1
8.0,12.0,c,1,m,0
12.0,14.0,c,1,M,1
14.0,14.5,c,1,M,0
14.5,16.0,c,1,m,0
16.0,16.5,c,1,M,0
16.5,17.0,c,5,M,0
17.0,19.0,c,5,D7,0
19.0,20.5,c,1,M,0
20.5,21.0,c,4,M,0
21.0,23.0,c,4,m,1
23.0,26.0,c,4,m,0
26.0,27.0,c,5,M,0
27.0,28.0,c,5,D7,0
28.0,30.0,c,5,M,0
30.0,32.0,c,1,M,0
32.0,32.5,c,5,M,0
32.5,33.0,c,5,D7,0
33.0,34.0,c,5/4,D7,0
34.0,34.5,c,5,m,0
34.5,35.0,c,1,m,0
35.0,36.0,c,4,m,0
36.0,37.0,c,1,m,2
37.0,38.0,c,5,D7,0
38.0,40.5,c,1,m,0
40.5,41.0,c,1,m,2
41.0,41.5,c,5,m,0
41.5,42.0,c,2,m,1
42.0,42.5,c,1,m,1
42.5,44.0,c,1,m,2
44.0,45.5,c,1,m,1
45.5,46.0,c,5,D7,1
46.0,50.0,c,1,m,0
50.0,52.0,c,1,M,1
52.0,54.0,c,1,m,0
54.0,54.5,c,1,M,0
54.5,55.0,c,5,M,0
55.0,57.0,c,5,D7,0
57.0,58.5,c,1,M,0
58.5,59.0,c,4,M,0
59.0,61.0,c,4,m,1
61.0,64.0,c,4,m,0
64.0,64.5,c,5,m7,0
64.5,67.0,c,5,D7,0
67.0,68.0,c,5,M,0
68.0,70.0,c,1,M,0
70.0,70.5,c,5,M,0
70.5,71.0,c,5,D7,0
71.0,72.0,c,5/4,D7,0
72.0,72.5,c,5,m,0
72.5,73.0,c,1,m,0
73.0,74.0,c,4,m,0
74.0,75.0,c,1,m,2
75.0,76.0,c,5,D7,0
76.0,79.0,c,1,m,0
79.0,79.5,c,4,m,0
79.5,80.0,c,2,d,1
80.0,82.0,c,1,m,2
82.0,83.0,c,1,m,1
83.0,83.5,c,1,m,2
83.5,84.0,c,5,D7,0
84.0,88.0,c,1,m,0
88.0,90.0,c,1,M,1
90.0,90.5,c,1,M,0
90.5,92.0,c,1,m,0
92.0,92.5,c,1,M,0
92.5,93.0,c,5,M,0
93.0,94.5,c,5,D7,0
94.5,95.0,A-,5,D7,0
95.0,95.5,c,1,M,0
95.5,96.0,A-,1,M,0
96.0,97.0,c,1,M,0
97.0,99.0,c,4,m,1
99.0,102.0,c,4,m,0
102.0,102.5,c,5,m7,0
102.5,105.0,c,5,D7,0
105.0,106.0,c,5,M,0
106.0,108.0,c,1,M,0
108.0,108.5,c,5,M,0
108.5,109.0,f,5,D7,0
109.0,109.5,f,5/4,D7,0
109.5,110.0,c,5/4,D7,0
110.0,110.5,c,5,m,0
110.5,111.0,c,1,m,0
111.0,113.0,c,4,m,0
113.0,113.5,c,1,m,2
113.5,114.0,c,1,m,1
114.0,114.5,c,4,m,1
114.5,115.5,c,4,Gr+6,1
115.5,117.0,c,4,m,1
117.0,117.5,c,7,m,1
117.5,119.0,c,1,m,0
119.0,120.0,c,1,m,2
120.0,120.5,c,5,m,0
120.5,122.0,c,5,D7,0
122.0,124.0,c,1,m,0
124.0,124.5,c,1,M,0
124.5,125.0,c,5,M,0
125.0,125.5,c,1,D7,0
125.5,126.0,c,1,M,1
126.0,126.5,c,1,M,0
126.5,127.0,c,4,M,0
127.0,128.0,c,4,m,0
128.0,130.0,c,1,m,0
