mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1	Bb.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	0	0	2/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	2/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/8	1/8	2/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
4	4	0	0	2/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/8	1/8	2/4	2	1	I}	Bb	I		I	I						}	M	0	0	0, 4, 1		0	0
5	5	0	0	2/4	2	1	{	Bb	I									{		0	0				
5	5	1/4	1/4	2/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	0	0	2/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	0	0	2/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	2/4	2	1	V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	3/8	3/8	2/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	2/4	2	1	I[I}{	Bb	I	I	I	I						}{	M	0	0	0, 4, 1		0	0
8	8	7/16	7/16	2/4	2	1	V7/IV	Bb	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
9	9	0	0	2/4	2	1	IV	Bb	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	0	0	2/4	2	1	I	Bb	I	I	I	I							M	0	0	0, 4, 1		0	0
10	10	7/16	7/16	2/4	2	1	V7/IV	Bb	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
11	11	0	0	2/4	2	1	IV	Bb	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	0	0	2/4	2	1	I]	Bb	I	I	I	I							M	0	0	0, 4, 1		0	0
13	13	0	0	2/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	2/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
14	14	1/4	1/4	2/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	7/16	7/16	2/4	2	1	#viio6/ii	Bb	I		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
15	15	0	0	2/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
15	15	7/16	7/16	2/4	2	1	V.viio	Bb	V		viio	vii	o						o	0	0	5, 2, -1		5	5
16	16	0	0	2/4	2	1	I}	Bb	V		I	I						}	M	0	0	0, 4, 1		0	0
16	16	1/4	1/4	2/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	3/8	3/8	2/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
17	17	3/16	3/16	2/4	2	1	{	Bb	V									{		0	0				
18	18	1/4	1/4	2/4	2	1	V43	Bb	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	19	0	0	2/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
20	20	0	0	2/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
20	20	1/4	1/4	2/4	2	1	V65	Bb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	0	0	2/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
22	22	0	0	2/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	23	0	0	2/4	2	1	ii	Bb	V		ii	ii							m	0	0	2, -1, 3		2	2
23	23	1/4	1/4	2/4	2	1	viio	Bb	V		viio	vii	o						o	0	0	5, 2, -1		5	5
23	23	3/8	3/8	2/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	7/16	7/16	2/4	2	1	V2	Bb	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
24	24	0	0	2/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
25	25	0	0	2/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
25	25	1/4	1/4	2/4	2	1	vi	Bb	V		vi	vi							m	0	0	3, 0, 4		3	3
25	25	3/8	3/8	2/4	2	1	IV(+7)	Bb	V		IV(+7)	IV			+7				M	0	0	-1, 3, 0	4	-1	-1
26	26	0	0	2/4	2	1	ii	Bb	V		ii	ii							m	0	0	2, -1, 3		2	2
