mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	6/8	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	0	0	0	6/8	4	1		I[I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
3	1	0	0	6/8	4	1		IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
3	1	3/8	3/8	6/8	4	1		IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
5	3	3/8	3/8	6/8	4	1		I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
7	5	0	0	6/8	4	1		IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
7	5	3/8	3/8	6/8	4	1		IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
9	7	0	0	6/8	4	1		I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
11	9	0	0	6/8	4	1		IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
11	9	3/8	3/8	6/8	4	1		IV6	D	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
12	10	0	0	6/8	4	1		IV64	D	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
13	11	0	0	6/8	4	1		vi	D	I	I	vi		vi							m	0	0	3, 0, 4		3	3
13	11	1/4	1/4	6/8	4	1		I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
15	13	0	0	6/8	4	1		IV(4)	D	I	I	IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
15	13	1/4	1/4	6/8	4	1		IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
15	13	3/8	3/8	6/8	4	1		IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
16	14	0	0	6/8	4	1		IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
16	14	3/8	3/8	6/8	4	1		IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
17	15	0	0	6/8	4	1		vi	D	I	I	vi		vi							m	0	0	3, 0, 4		3	3
17	15	3/8	3/8	6/8	4	1		I]	D	I	I	I		I							M	0	0	0, 4, 1		0	0
18	16	0	0	6/8	4	1		iii64	D	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
18	16	3/8	3/8	6/8	4	1		iii%43	D	I		iii%43		iii	%	43					%7	0	0	-2, 2, 4, 1		4	-2
18	16	5/8	5/8	6/8	4	1		viio2/ii	D	I		viio2/ii		vii	o	2		ii			o7	0	0	-9, 0, -3, -6		0	-9
19	17	0	0	6/8	4	1		V7/ii	D	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
19	17	3/8	3/8	6/8	4	1		#viio/vi	D	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
20	18	0	0	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	18	1/4	1/4	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
20	18	3/8	3/8	6/8	4	1		V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	18	5/8	5/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	19	0	0	6/8	4	1		vii%43	D	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
21	19	3/8	3/8	6/8	4	1		III[vi64	D	I	III	vi64		vi		64					m	0	0	4, 3, 0		3	4
22	20	0	0	6/8	4	1		I+6	D	I	III	I+6		I	+	6					+	0	0	4, 8, 0		0	4
22	20	3/8	3/8	6/8	4	1		I64]	D	I	III	I64		I		64					M	0	0	1, 0, 4		0	1
23	21	0	0	6/8	4	1		#iv7	D	I		#iv7		#iv		7					mm7	0	0	6, 3, 7, 4		6	6
23	21	3/8	3/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
24	22	0	0	6/8	4	1		V7(2)	D	I		V7(2)		V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
24	22	1/4	1/4	6/8	4	1		V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
24	22	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	23	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
25	23	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	24	0	0	6/8	4	1		I6(4)	D	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
26	24	1/4	1/4	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	24	3/8	3/8	6/8	4	1		I(2)	D	I		I(2)		I			2				M	0	0	2, 4, 1		0	2
26	24	5/8	5/8	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
27	25	0	0	6/8	4	1		V6(4)	D	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
27	25	1/4	1/4	6/8	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
27	25	3/8	3/8	6/8	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
28	26	0	0	6/8	4	1		V43(2)	D	I		V43(2)		V		43	2				Mm7	0	0	2, -1, 3, 5		1	2
28	26	3/8	3/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
29	27	0	0	6/8	4	1		I6(7)	D	I		I6(7)		I		6	7				M	0	0	4, 1, 5		0	4
29	27	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
29	27	5/8	5/8	6/8	4	1		I+6	D	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
30	28	0	0	6/8	4	1		ii65(4)	D	I		ii65(4)		ii		65	4				mm7	0	0	1, 3, 0, 2		2	1
30	28	1/4	1/4	6/8	4	1		ii65	D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
30	28	3/8	3/8	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
31	29	0	0	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
