mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	A.I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
4	4	0	0	3/4	2	1	V65		A	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	3/8	3/8	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	1/2	1/2	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	5/8	5/8	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
8	8	1/8	1/8	3/4	2	1	ii6		A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	1/4	1/4	3/4	2	1	V(64)}		A	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	1/2	1/2	3/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
9	9	0	0	3/4	2	1	I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
11	11	0	0	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/2	1/2	3/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
12	12	0	0	3/4	2	1	viio6		A	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
13	13	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	1/2	1/2	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
14	14	1/2	1/2	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	15	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	1/2	1/2	3/4	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	0	0	3/4	2	1	V(64)		A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	16	1/8	1/8	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	1/4	1/4	3/4	2	1	I(94)}		A	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
16	16	1/2	1/2	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
17	17	0	0	3/4	2	1	{		A	I										{		0	0				
17	17	1/4	1/4	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	3/8	3/8	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	1/2	1/2	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	5/8	5/8	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
18	18	1/8	1/8	3/4	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	1/4	1/4	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
18	18	3/8	3/8	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	1/2	1/2	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
18	18	5/8	5/8	3/4	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
19	19	0	0	3/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
19	19	1/4	1/4	3/4	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
19	19	3/8	3/8	3/4	2	1	V6(#4^2)		A	I		V6(#4^2)		V		6	#4^2				M	0	0	3, 7, 1		1	3
19	19	1/2	1/2	3/4	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
