mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1		a.i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/8	3/8	2/4	2	1		#viio64	a	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
2	2	0	0	2/4	2	1		i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
2	2	3/8	3/8	2/4	2	1		V64	a	i	i	V64		V		64					M	1	1	2, 1, 5		1	2
3	3	0	0	2/4	2	1		i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
3	3	3/8	3/8	2/4	2	1		V6	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	0	0	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
5	5	0	0	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	3/8	3/8	2/4	2	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
6	6	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	0	0	2/4	2	1		#viio6	a	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
7	7	3/8	3/8	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
8	8	0	0	2/4	2	1		V}	a	i		V		V						}	M	1	1	1, 5, 2		1	1
9	9	0	0	2/4	2	1		i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
9	9	3/8	3/8	2/4	2	1		#viio64	a	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
10	10	0	0	2/4	2	1		i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
10	10	3/8	3/8	2/4	2	1		V64	a	i	i	V64		V		64					M	1	1	2, 1, 5		1	2
11	11	0	0	2/4	2	1		i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
11	11	3/8	3/8	2/4	2	1		V6	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
12	12	0	0	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
12	12	1/4	1/4	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
13	13	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	0	0	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	3/8	3/8	2/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
15	15	0	0	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
15	15	1/4	1/4	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	3/8	3/8	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
16	16	0	0	2/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	16	1/4	1/4	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
17	17	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
17	17	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
