key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G major	[0.076, 0.0, 0.304, 0.0, 0.045, 0.0, 0.101, 0.195, 0.0, 0.108, 0.0, 0.171]	0.0	48.0	48.0	1	13	12
B major	[0.0, 0.011, 0.0, 0.241, 0.121, 0.0, 0.19, 0.098, 0.0, 0.0, 0.011, 0.328]	48.0	60.0	12.0	13	16	3
G major	[0.031, 0.04, 0.292, 0.0, 0.042, 0.0, 0.1, 0.168, 0.0, 0.128, 0.04, 0.159]	60.0	148.0	88.0	16	38	22
B- major	[0.134, 0.0, 0.221, 0.059, 0.0, 0.237, 0.0, 0.027, 0.0, 0.094, 0.228, 0.0]	148.0	188.0	40.0	38	48	10
G major	[0.126, 0.0, 0.303, 0.003, 0.049, 0.0, 0.112, 0.152, 0.0, 0.143, 0.0, 0.111]	188.0	232.0	44.0	48	59	11
B major	[0.0, 0.011, 0.0, 0.241, 0.121, 0.0, 0.19, 0.098, 0.0, 0.0, 0.011, 0.328]	232.0	244.0	12.0	59	62	3
G major	[0.028, 0.0, 0.283, 0.0, 0.028, 0.0, 0.07, 0.232, 0.0, 0.127, 0.0, 0.231]	244.0	288.0	44.0	62	73	11
C major	[0.165, 0.0, 0.087, 0.0, 0.165, 0.078, 0.0, 0.417, 0.0, 0.0, 0.0, 0.087]	288.0	300.0	12.0	73	77	4
A major	[0.051, 0.106, 0.161, 0.0, 0.263, 0.005, 0.0, 0.06, 0.129, 0.138, 0.0, 0.088]	300.0	324.0	24.0	77	83	6
G major	[0.099, 0.0, 0.26, 0.0, 0.069, 0.0, 0.027, 0.225, 0.0, 0.129, 0.0, 0.192]	324.0	344.0	20.0	83	88	5
C major	[0.097, 0.0, 0.0, 0.0, 0.129, 0.0, 0.0, 0.484, 0.0, 0.258, 0.0, 0.032]	344.0	348.0	4.0	88	89	1
E- major	[0.065, 0.0, 0.075, 0.178, 0.0, 0.093, 0.0, 0.299, 0.037, 0.0, 0.178, 0.075]	348.0	360.0	12.0	89	92	3
G major	[0.098, 0.0, 0.261, 0.026, 0.048, 0.002, 0.046, 0.204, 0.004, 0.123, 0.018, 0.17]	360.0	420.0	60.0	92	105	13
