key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.0, 0.036, 0.168, 1.0, 0.0, 0.144, 0.0, 0.407, 0.024, 0.0, 0.892, 0.0]	0.0	36.0	36.0	1	13	12
D- major	[0.389, 0.667, 0.0, 0.389, 0.0, 0.583, 0.333, 0.0, 1.0, 0.0, 0.0, 0.0]	36.0	48.0	3.0	13	17	4
E- major	[0.207, 0.022, 0.076, 0.946, 0.033, 0.163, 0.293, 0.359, 0.174, 0.13, 1.0, 0.065]	48.0	86.5	3.0	17	29	12
D- major	[0.062, 1.0, 0.0, 0.062, 0.0, 0.562, 0.062, 0.0, 1.0, 0.0, 0.062, 0.0]	86.5	91.5	0.5	29	31	2
G- major	[0.321, 0.755, 0.094, 0.17, 0.0, 0.057, 1.0, 0.0, 0.283, 0.245, 0.377, 0.019]	91.5	110.5	1.5	31	37	6
E- major	[0.038, 0.019, 0.185, 0.634, 0.0, 0.309, 0.0, 0.261, 0.181, 0.029, 1.0, 0.01]	110.5	171.0	0.5	37	58	21
D- major	[0.389, 0.667, 0.0, 0.389, 0.0, 0.583, 0.333, 0.0, 1.0, 0.0, 0.0, 0.0]	171.0	183.0	3.0	58	62	4
E- major	[0.207, 0.022, 0.076, 0.946, 0.033, 0.163, 0.25, 0.359, 0.174, 0.13, 1.0, 0.065]	183.0	221.5	3.0	62	74	12
D- major	[0.062, 1.0, 0.0, 0.062, 0.0, 0.562, 0.062, 0.0, 0.938, 0.0, 0.062, 0.0]	221.5	226.5	0.5	74	76	2
G- major	[0.315, 0.778, 0.056, 0.148, 0.0, 0.056, 1.0, 0.0, 0.278, 0.241, 0.352, 0.019]	226.5	245.5	1.5	76	82	6
E- major	[0.051, 0.0, 0.167, 0.538, 0.0, 0.34, 0.0, 0.308, 0.231, 0.038, 1.0, 0.013]	245.5	282.0	0.5	82	94	12
