mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
1	1	1/2	1/2	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	0	0	3/4	4	1		I6/V		Eb	I		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
4	4	0	0	3/4	4	1		I64/V		Eb	I		I64/V		I		64		V			M	0	0	2, 1, 5		1	2
5	5	0	0	3/4	4	1		V6/V		Eb	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
6	6	1/4	1/4	3/4	4	1		I6/V	IV6/ii	Eb	I		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
6	6	1/2	1/2	3/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
7	7	0	0	3/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	7	1/2	1/2	3/4	4	1		V64/ii		Eb	I		V64/ii		V		64		ii			M	0	0	4, 3, 7		3	4
8	8	0	0	3/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	1/2	1/2	3/4	4	1		viio/V		Eb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
9	9	0	0	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
10	10	0	0	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
10	10	1/2	1/2	3/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	0	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
12	12	0	0	3/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
12	12	1/2	1/2	3/4	4	1		viio6/V		Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
13	13	0	0	3/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
14	14	0	0	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
14	14	1/2	1/2	3/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	0	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
15	15	1/2	1/2	3/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
16	16	0	0	3/4	4	1		viio6/V		Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
16	16	1/4	1/4	3/4	4	1		iv6		Eb	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
16	16	1/2	1/2	3/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	0	0	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
17	17	1/2	1/2	3/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
18	18	0	0	3/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	1/4	1/4	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
18	18	1/2	1/2	3/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	0	0	3/4	4	1		viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
19	19	1/4	1/4	3/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	1/2	1/2	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
20	20	0	0	3/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	1/4	1/4	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
20	20	1/2	1/2	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
21	21	0	0	3/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	1/2	1/2	3/4	4	1		viio6/V		Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
22	22	0	0	3/4	4	1		v6		Eb	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
22	22	1/4	1/4	3/4	4	1		#io2		Eb	I		#io2		#i	o	2					o7	0	0	-2, 7, 4, 1		7	-2
22	22	1/2	1/2	3/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	0	0	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
23	23	1/2	1/2	3/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
24	24	0	0	3/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
24	24	1/2	1/2	3/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
25	25	0	0	3/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
25	25	1/2	1/2	3/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
26	26	0	0	3/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	1/2	1/2	3/4	4	1		V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
27	27	0	0	3/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
27	27	1/2	1/2	3/4	4	1		V/vi		Eb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
28	28	1/4	1/4	3/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
29	29	1/4	1/4	3/4	4	1		V/V		Eb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
30	30	0	0	3/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
30	30	1/4	1/4	3/4	4	1		V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
30	30	1/2	1/2	3/4	4	1		V/vi		Eb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
31	31	0	0	3/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
31	31	1/4	1/4	3/4	4	1		V.ii		Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
32	32	0	0	3/4	4	1		V65		Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
32	32	1/2	1/2	3/4	4	1		I		Eb	V		I		I							M	0	0	0, 4, 1		0	0
32	32	5/8	5/8	3/4	4	1		V65		Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
33	33	0	0	3/4	4	1		V2		Eb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
33	33	1/8	1/8	3/4	4	1		I6		Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
33	33	1/4	1/4	3/4	4	1		vii%65		Eb	V		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
33	33	3/8	3/8	3/4	4	1		vi65		Eb	V		vi65		vi		65					mm7	0	0	0, 4, 1, 3		3	0
33	33	1/2	1/2	3/4	4	1		V6		Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
33	33	5/8	5/8	3/4	4	1		IV6		Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
34	34	0	0	3/4	4	1		iii6(+6)		Eb	V		iii6(+6)		iii		6	+6				m	0	0	1, 5, 4	0	4	1
34	34	1/8	1/8	3/4	4	1		ii6		Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	34	1/4	1/4	3/4	4	1		I6(+2)		Eb	V		I6(+2)		I		6	+2				M	0	0	4, 1, 0	2	0	4
34	34	3/8	3/8	3/4	4	1		viio6		Eb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
34	34	1/2	1/2	3/4	4	1		I		Eb	V		I		I							M	0	0	0, 4, 1		0	0
34	34	5/8	5/8	3/4	4	1		V6		Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
35	35	0	0	3/4	4	1		IV6		Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
35	35	1/8	1/8	3/4	4	1		V7		Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	36	0	0	3/4	4	1	1	I\\		Eb	V		I		I						\\	M	0	0	0, 4, 1		0	0
37	36	0	0	3/4	4	1	2	I\\		Eb	V		I		I						\\	M	0	0	0, 4, 1		0	0
38	37	0	0	3/4	4	1		@none		Eb	V		@none		@none							m	0	0				
41	40	0	0	3/4	4	1		vi.V		Eb	vi		V		V							M	0	1	1, 5, 2		1	1
41	40	3/8	3/8	3/4	4	1		V65		Eb	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
42	41	0	0	3/4	4	1		i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
42	41	1/2	1/2	3/4	4	1		V		Eb	vi		V		V							M	0	1	1, 5, 2		1	1
43	42	0	0	3/4	4	1		i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
44	43	0	0	3/4	4	1		V65		Eb	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
44	43	1/2	1/2	3/4	4	1		i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
45	44	0	0	3/4	4	1		V65		Eb	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
46	45	0	0	3/4	4	1		i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
46	45	1/2	1/2	3/4	4	1		V2		Eb	vi		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
47	46	0	0	3/4	4	1		i6		Eb	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
47	46	1/4	1/4	3/4	4	1		V6/iv		Eb	vi		V6/iv		V		6		iv			M	0	1	4, 1, 0		0	4
47	46	1/2	1/2	3/4	4	1		V7/iv		Eb	vi		V7/iv		V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
48	47	0	0	3/4	4	1		iv		Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
48	47	1/2	1/2	3/4	4	1		iv(64)		Eb	vi		iv(64)		iv			64				m	0	1	-1, -2, 2		-1	-1
49	48	0	0	3/4	4	1		iv		Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
49	48	3/8	3/8	3/4	4	1		V/iv		Eb	vi		V/iv		V				iv			M	0	1	0, 4, 1		0	0
49	48	1/2	1/2	3/4	4	1		iv		Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
50	49	0	0	3/4	4	1		V6/iv		Eb	vi		V6/iv		V		6		iv			M	0	1	4, 1, 0		0	4
50	49	1/2	1/2	3/4	4	1		iv		Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
51	50	0	0	3/4	4	1		V65/iv		Eb	vi		V65/iv		V		65		iv			Mm7	0	1	4, 1, -2, 0		0	4
51	50	1/4	1/4	3/4	4	1		iv		Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
51	50	1/2	1/2	3/4	4	1		bVII.viio43		Eb	bVII		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
51	50	5/8	5/8	3/4	4	1		V64		Eb	bVII		V64		V		64					M	0	0	2, 1, 5		1	2
