key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B major	[0.0, 0.153, 0.0, 0.153, 0.113, 0.0, 0.26, 0.06, 0.0, 0.0, 0.147, 0.113]	0.0	16.0	16.0	1	3	2
F# major	[0.0, 0.209, 0.045, 0.0, 0.0, 0.179, 0.104, 0.0, 0.239, 0.0, 0.134, 0.09]	16.0	24.0	1.0	3	5	2
B major	[0.0, 0.148, 0.0, 0.148, 0.148, 0.0, 0.0, 0.222, 0.0, 0.0, 0.333, 0.0]	24.0	27.0	3.0	5	5	0
c# minor	[0.211, 0.105, 0.0, 0.105, 0.158, 0.0, 0.158, 0.0, 0.211, 0.053, 0.0, 0.0]	27.0	31.0	1.0	5	6	1
F# major	[0.0, 0.345, 0.0, 0.0, 0.0, 0.069, 0.138, 0.0, 0.138, 0.086, 0.103, 0.121]	31.0	39.0	2.0	6	7	1
A major	[0.0, 0.346, 0.038, 0.0, 0.308, 0.0, 0.0, 0.0, 0.0, 0.231, 0.0, 0.077]	39.0	43.0	1.0	7	8	1
E major	[0.0, 0.125, 0.0, 0.125, 0.15, 0.0, 0.075, 0.0, 0.15, 0.225, 0.0, 0.15]	43.0	48.0	1.0	8	9	1
B major	[0.0, 0.062, 0.0, 0.188, 0.188, 0.0, 0.125, 0.125, 0.042, 0.042, 0.083, 0.146]	48.0	54.0	1.0	9	10	1
F# major	[0.0, 0.095, 0.071, 0.0, 0.0, 0.143, 0.262, 0.0, 0.143, 0.0, 0.143, 0.143]	54.0	60.0	3.0	10	11	1
B major	[0.0, 0.158, 0.0, 0.158, 0.112, 0.0, 0.257, 0.059, 0.0, 0.0, 0.145, 0.112]	60.0	76.0	1.0	11	13	2
F# major	[0.0, 0.209, 0.045, 0.0, 0.0, 0.179, 0.104, 0.0, 0.239, 0.0, 0.134, 0.09]	76.0	84.0	1.0	13	15	2
B major	[0.0, 0.148, 0.0, 0.148, 0.148, 0.0, 0.0, 0.222, 0.0, 0.0, 0.333, 0.0]	84.0	87.0	3.0	15	15	0
c# minor	[0.211, 0.105, 0.0, 0.105, 0.158, 0.0, 0.158, 0.0, 0.211, 0.053, 0.0, 0.0]	87.0	91.0	1.0	15	16	1
F# major	[0.0, 0.345, 0.0, 0.0, 0.0, 0.069, 0.138, 0.0, 0.138, 0.086, 0.103, 0.121]	91.0	99.0	2.0	16	17	1
A major	[0.0, 0.346, 0.038, 0.0, 0.308, 0.0, 0.0, 0.0, 0.0, 0.231, 0.0, 0.077]	99.0	103.0	1.0	17	18	1
E major	[0.0, 0.125, 0.0, 0.125, 0.15, 0.0, 0.075, 0.0, 0.15, 0.225, 0.0, 0.15]	103.0	108.0	1.0	18	19	1
B major	[0.0, 0.062, 0.0, 0.188, 0.188, 0.0, 0.125, 0.125, 0.042, 0.042, 0.083, 0.146]	108.0	114.0	1.0	19	20	1
F# major	[0.0, 0.095, 0.071, 0.0, 0.0, 0.143, 0.262, 0.0, 0.143, 0.0, 0.143, 0.143]	114.0	120.0	3.0	20	21	1
B major	[0.0, 0.083, 0.0, 0.115, 0.064, 0.0, 0.185, 0.045, 0.0, 0.0, 0.089, 0.42]	120.0	138.0	1.0	21	23	2
