mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	3/8	2	1	F.I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
3	2	0	0	3/8	2	1	V43	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	0	0	3/8	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
5	4	0	0	3/8	2	1	V2	F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	5	0	0	3/8	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	0	0	3/8	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	0	0	3/8	2	1	ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
8	7	1/8	1/8	3/8	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	1/4	1/4	3/8	2	1	viio/V	F	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
9	8	0	0	3/8	2	1	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
9	8	1/4	1/4	3/8	2	1	I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
11	10	0	0	3/8	2	1	V43	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	11	0	0	3/8	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
13	12	0	0	3/8	2	1	V2	F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	13	0	0	3/8	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	14	0	0	3/8	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	0	0	3/8	2	1	V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	15	1/4	1/4	3/8	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
17	16	0	0	3/8	2	1	I[I}	F	I	I	I		I						}	M	0	0	0, 4, 1		0	0
18	17	0	0	3/8	2	1	ii6{	F	I	I	ii6		ii		6				{	m	0	0	-1, 3, 2		2	-1
19	18	1/8	1/8	3/8	2	1	I	F	I	I	I		I							M	0	0	0, 4, 1		0	0
20	19	1/8	1/8	3/8	2	1	viio6	F	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
21	20	0	0	3/8	2	1	I	F	I	I	I		I							M	0	0	0, 4, 1		0	0
22	21	0	0	3/8	2	1	ii	F	I	I	ii		ii							m	0	0	2, -1, 3		2	2
23	22	1/8	1/8	3/8	2	1	I	F	I	I	I		I							M	0	0	0, 4, 1		0	0
24	23	1/8	1/8	3/8	2	1	viio	F	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
25	24	0	0	3/8	2	1	I}	F	I	I	I		I						}	M	0	0	0, 4, 1		0	0
26	25	0	0	3/8	2	1	V.ii6]{	F	V	IV	ii6		ii		6				{	m	0	0	-1, 3, 2		2	-1
27	26	0	0	3/8	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
28	27	0	0	3/8	2	1	viio6	F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	28	0	0	3/8	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
30	29	0	0	3/8	2	1	ii6	F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
32	31	1/4	1/4	3/8	2	1	vii%7/V	F	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
33	32	0	0	3/8	2	1	V}	F	V		V		V						}	M	0	0	1, 5, 2		1	1
34	33	1/4	1/4	3/8	2	1	vii%7/V	F	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
35	34	0	0	3/8	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
36	35	1/4	1/4	3/8	2	1	vii%7/V	F	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
37	36	0	0	3/8	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
39	38	0	0	3/8	2	1	V7{	F	V		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
40	39	0	0	3/8	2	1	V7(9)	F	V		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
41	40	0	0	3/8	2	1	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
