key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G major	[0.238, 0.0, 1.0, 0.0, 0.111, 0.0, 0.085, 0.767, 0.026, 0.275, 0.0, 0.339]	0.0	22.0	22.0	1	12	11
e minor	[0.135, 0.0, 0.0, 0.071, 1.0, 0.0, 0.113, 0.262, 0.0, 0.121, 0.0, 0.397]	22.0	34.0	2.0	12	18	6
C major	[0.979, 0.0, 0.105, 0.0, 0.4, 0.084, 0.0, 1.0, 0.0, 0.0, 0.0, 0.105]	34.0	42.5	2.0	18	22	4
d minor	[0.0, 0.687, 1.0, 0.0, 1.0, 0.687, 0.0, 0.375, 0.0, 0.875, 0.25, 0.0]	42.5	46.0	0.5	22	24	2
C major	[0.567, 0.0, 0.433, 0.0, 0.367, 0.267, 0.133, 1.0, 0.0, 0.233, 0.0, 0.2]	46.0	50.5	0.5	24	26	2
d minor	[0.0, 0.529, 0.882, 0.0, 0.647, 0.706, 0.0, 0.588, 0.0, 1.0, 0.235, 0.0]	50.5	54.0	0.5	26	28	2
C major	[0.926, 0.053, 0.558, 0.0, 0.8, 0.305, 0.084, 1.0, 0.084, 0.474, 0.032, 0.4]	54.0	75.5	0.5	28	38	10
e minor	[0.116, 0.628, 0.0, 0.814, 0.756, 0.0, 0.384, 0.116, 0.686, 0.047, 0.221, 1.0]	75.5	92.0	0.5	38	47	9
B major	[0.0, 0.056, 0.0, 0.366, 0.028, 0.0, 0.563, 0.0, 0.0, 0.0, 0.028, 1.0]	92.0	98.0	1.0	47	50	3
G major	[0.347, 0.0, 1.0, 0.0, 0.178, 0.0, 0.136, 0.458, 0.034, 0.542, 0.0, 0.39]	98.0	114.0	2.0	50	58	8
e minor	[0.127, 0.0, 0.014, 0.063, 1.0, 0.0, 0.106, 0.261, 0.0, 0.12, 0.0, 0.394]	114.0	126.0	2.0	58	64	6
C major	[1.0, 0.0, 0.195, 0.0, 0.537, 0.0, 0.0, 0.683, 0.0, 0.0, 0.0, 0.146]	126.0	130.0	2.0	64	66	2
G major	[0.057, 0.011, 0.334, 0.0, 0.057, 0.0, 0.04, 1.0, 0.003, 0.074, 0.0, 0.219]	130.0	150.0	1.0	66	75	9
