key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g minor	[0.107, 0.0, 0.177, 0.1, 0.003, 0.003, 0.068, 0.277, 0.006, 0.11, 0.149, 0.0]	0.0	24.5	24.5	0	13	13
f minor	[0.28, 0.087, 0.0, 0.0, 0.128, 0.161, 0.018, 0.096, 0.106, 0.0, 0.124, 0.0]	24.5	32.0	1.0	13	16	3
g minor	[0.037, 0.0, 0.408, 0.014, 0.0, 0.0, 0.041, 0.269, 0.0, 0.091, 0.14, 0.0]	32.0	42.0	0.5	16	21	5
G major	[0.062, 0.011, 0.264, 0.0, 0.034, 0.0, 0.045, 0.348, 0.0, 0.073, 0.0, 0.163]	42.0	53.5	0.5	21	27	6
e minor	[0.101, 0.0, 0.05, 0.076, 0.118, 0.0, 0.118, 0.084, 0.0, 0.05, 0.017, 0.387]	53.5	72.5	1.0	27	37	10
g minor	[0.092, 0.027, 0.196, 0.111, 0.0, 0.0, 0.082, 0.224, 0.007, 0.102, 0.16, 0.0]	72.5	94.5	2.0	37	48	11
f minor	[0.256, 0.08, 0.0, 0.0, 0.168, 0.156, 0.042, 0.088, 0.097, 0.0, 0.113, 0.0]	94.5	102.0	1.0	48	51	3
g minor	[0.03, 0.037, 0.298, 0.014, 0.037, 0.0, 0.028, 0.286, 0.0, 0.09, 0.179, 0.0]	102.0	116.5	0.5	51	59	8
A- major	[0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]	116.5	118.5	2.0	59	60	1
f minor	[0.0, 0.214, 0.0, 0.0, 0.143, 0.143, 0.0, 0.143, 0.0, 0.0, 0.357, 0.0]	118.5	124.5	2.0	60	63	3
g minor	[0.06, 0.126, 0.164, 0.031, 0.075, 0.025, 0.031, 0.333, 0.06, 0.05, 0.019, 0.025]	124.5	144.5	2.0	63	73	10
A- major	[0.129, 0.129, 0.0, 0.129, 0.129, 0.0, 0.0, 0.258, 0.0, 0.0, 0.226, 0.0]	144.5	148.5	2.0	73	75	2
g minor	[0.077, 0.013, 0.228, 0.047, 0.013, 0.013, 0.047, 0.309, 0.017, 0.054, 0.168, 0.013]	148.5	166.5	1.0	75	83	8
