mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	C.I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	1/2	1/2	4/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
4	4	0	0	4/4	2	1	V43	C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	1/2	1/2	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	0	0	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	3/4	3/4	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	4/4	2	1	I}{	C	I		I	I						}{	M	0	0	0, 4, 1		0	0
10	10	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	4/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
11	11	0	0	4/4	2	1	V43	C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	1/2	1/2	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	0	0	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
12	12	1/2	1/2	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	0	0	4/4	2	1	#viio43/ii	C	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
13	13	1/2	1/2	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	14	0	0	4/4	2	1	viio6/IV	C	I		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
14	14	1/2	1/2	4/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
15	15	1/2	1/2	4/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	16	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	1/2	1/2	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
17	17	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
17	17	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	17	3/4	3/4	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
18	18	0	0	4/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	18	1/2	1/2	4/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	1/2	1/2	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
20	20	0	0	4/4	2	1	ii65	C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
20	20	1/4	1/4	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
20	20	3/4	3/4	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
21	21	0	0	4/4	2	1	I}{	C	I		I	I						}{	M	0	0	0, 4, 1		0	0
23	23	0	0	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	25	0	0	4/4	2	1	V.V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	27	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
27	27	1/4	1/4	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
27	27	1/2	1/2	4/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	27	3/4	3/4	4/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
28	28	1/4	1/4	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
28	28	1/2	1/2	4/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
28	28	3/4	3/4	4/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	29	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
29	29	1/2	1/2	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
30	30	0	0	4/4	2	1	IV	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	30	1/2	1/2	4/4	2	1	IV6	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
31	31	0	0	4/4	2	1	ii	C	V		ii	ii							m	0	0	2, -1, 3		2	2
32	32	0	0	4/4	2	1	V}	C	V		V	V						}	M	0	0	1, 5, 2		1	1
34	34	0	0	4/4	2	1	V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
34	34	1/4	1/4	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
34	34	1/2	1/2	4/4	2	1	V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
34	34	3/4	3/4	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
35	35	0	0	4/4	2	1	I{	C	V		I	I						{	M	0	0	0, 4, 1		0	0
35	35	1/2	1/2	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
36	36	0	0	4/4	2	1	V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	36	1/2	1/2	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
37	37	0	0	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	1/4	1/4	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
37	37	1/2	1/2	4/4	2	1	V43	C	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
37	37	3/4	3/4	4/4	2	1	V6	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
38	38	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
38	38	1/4	1/4	4/4	2	1	viio6/V	C	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
38	38	1/2	1/2	4/4	2	1	V}	C	V		V	V						}	M	0	0	1, 5, 2		1	1
39	39	0	0	4/4	2	1	I{	C	V		I	I						{	M	0	0	0, 4, 1		0	0
39	39	1/2	1/2	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
40	40	0	0	4/4	2	1	V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
40	40	1/2	1/2	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
41	41	0	0	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
41	41	1/4	1/4	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
41	41	1/2	1/2	4/4	2	1	V43	C	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
41	41	3/4	3/4	4/4	2	1	V6	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
42	42	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
42	42	1/4	1/4	4/4	2	1	viio6/V	C	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
42	42	1/2	1/2	4/4	2	1	V}	C	V		V	V						}	M	0	0	1, 5, 2		1	1
42	42	3/4	3/4	4/4	2	1	V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
43	43	0	0	4/4	2	1	I6{	C	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
