key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e minor	[0.064, 0.0, 0.0, 0.023, 0.286, 0.0, 0.186, 0.232, 0.0, 0.105, 0.0, 0.105]	0.0	30.0	30.0	0	8	8
a minor	[0.188, 0.0, 0.042, 0.0, 0.271, 0.0, 0.0, 0.0, 0.021, 0.417, 0.0, 0.062]	30.0	36.5	6.5	8	10	2
e minor	[0.152, 0.0, 0.026, 0.017, 0.087, 0.017, 0.048, 0.209, 0.152, 0.196, 0.0, 0.096]	36.5	68.5	32.0	10	18	8
G major	[0.137, 0.02, 0.118, 0.01, 0.087, 0.0, 0.061, 0.256, 0.0, 0.137, 0.01, 0.164]	68.5	106.5	38.0	18	27	9
d minor	[0.0, 0.075, 0.025, 0.075, 0.1, 0.0, 0.0, 0.5, 0.0, 0.0, 0.2, 0.025]	106.5	110.5	4.0	27	28	1
c minor	[0.084, 0.022, 0.124, 0.0, 0.202, 0.225, 0.022, 0.079, 0.045, 0.112, 0.0, 0.084]	110.5	128.5	18.0	28	33	5
a minor	[0.183, 0.0, 0.125, 0.0, 0.173, 0.066, 0.0, 0.038, 0.038, 0.194, 0.0, 0.183]	128.5	159.5	31.0	33	40	7
e minor	[0.149, 0.0, 0.004, 0.058, 0.1, 0.0, 0.191, 0.183, 0.0, 0.071, 0.017, 0.228]	159.5	198.5	39.0	40	50	10
C major	[0.2, 0.0, 0.267, 0.0, 0.317, 0.017, 0.0, 0.017, 0.0, 0.1, 0.0, 0.083]	198.5	208.5	10.0	50	53	3
e minor	[0.095, 0.007, 0.014, 0.047, 0.142, 0.0, 0.068, 0.061, 0.047, 0.142, 0.054, 0.324]	208.5	232.5	24.0	53	59	6
