key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
D- major	[0.405, 0.419, 0.0, 0.527, 0.216, 0.365, 0.176, 0.081, 1.0, 0.108, 0.392, 0.0]	0.0	32.0	32.0	1	7	6
b- minor	[1.0, 0.15, 0.0, 0.75, 0.1, 0.75, 0.5, 0.0, 0.0, 0.35, 0.35, 0.0]	32.0	40.0	1.0	7	9	2
D- major	[0.444, 0.852, 0.0, 0.63, 0.111, 0.296, 0.63, 0.0, 1.0, 0.0, 0.481, 0.0]	40.0	53.0	5.0	9	11	2
f minor	[1.0, 0.227, 0.0, 0.091, 0.364, 0.181, 0.0, 0.409, 0.423, 0.091, 0.212, 0.0]	53.0	60.0	2.0	11	13	2
D- major	[0.22, 0.44, 0.0, 0.22, 0.22, 0.2, 0.22, 0.053, 1.0, 0.0, 0.313, 0.0]	60.0	75.0	1.0	13	16	3
a- minor	[0.0, 0.385, 0.0, 1.0, 0.153, 0.0, 0.0, 0.487, 0.973, 0.0, 0.474, 0.768]	75.0	85.0	5.0	16	18	2
f minor	[0.0, 0.685, 0.0, 0.0, 0.79, 0.0, 0.79, 0.0, 0.0, 0.0, 1.0, 0.21]	85.0	90.0	5.0	18	19	1
A- major	[0.394, 0.303, 0.303, 1.0, 0.0, 0.788, 0.0, 0.303, 0.818, 0.0, 0.667, 0.0]	90.0	105.0	5.0	19	22	3
D- major	[0.369, 0.608, 0.014, 0.709, 0.216, 0.155, 0.432, 0.095, 1.0, 0.243, 0.371, 0.068]	105.0	172.0	5.0	22	35	13
b- minor	[0.778, 0.111, 0.0, 0.444, 0.111, 1.0, 0.389, 0.0, 0.0, 0.111, 0.389, 0.0]	172.0	180.0	1.0	35	37	2
D- major	[0.132, 1.0, 0.0, 0.359, 0.0, 0.285, 0.235, 0.0, 0.707, 0.0, 0.136, 0.0]	180.0	200.0	5.0	37	40	3
