mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1	G.I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	2	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	0	0	3/4	2	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	3	1/2	1/2	3/4	2	1	V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	0	0	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	2	1	IV(4)	G	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
6	5	1/8	1/8	3/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	0	0	3/4	2	1	I6(6)	G	I		I6(6)	I		6	6				M	0	0	4, 3, 0		0	4
7	6	1/8	1/8	3/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	3/4	2	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	7	1/4	1/4	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
8	7	1/2	1/2	3/4	2	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	8	0	0	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
9	8	1/2	1/2	3/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	9	1/4	1/4	3/4	2	1	V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
10	9	1/2	1/2	3/4	2	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	0	0	3/4	2	1	I}	G	I		I	I						}	M	0	0	0, 4, 1		0	0
11	10	1/2	1/2	3/4	2	1	{	G	I									{		0	0				
12	11	0	0	3/4	2	1	IV(4)	G	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
12	11	1/8	1/8	3/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	12	0	0	3/4	2	1	I6(6)	G	I		I6(6)	I		6	6				M	0	0	4, 3, 0		0	4
13	12	1/8	1/8	3/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	3/4	2	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	13	1/4	1/4	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
14	13	1/2	1/2	3/4	2	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	14	0	0	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
15	14	1/2	1/2	3/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
16	15	1/4	1/4	3/4	2	1	V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	15	1/2	1/2	3/4	2	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	3/4	2	1	I}	G	I		I	I						}	M	0	0	0, 4, 1		0	0
17	16	3/8	3/8	3/4	2	1	{	G	I									{		0	0				
18	17	0	0	3/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	17	3/8	3/8	3/4	2	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	18	0	0	3/4	2	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
19	18	3/8	3/8	3/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	18	5/8	5/8	3/4	2	1	viio6/IV	G	I		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
20	19	0	0	3/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
20	19	1/4	1/4	3/4	2	1	IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	19	1/2	1/2	3/4	2	1	IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
20	19	5/8	5/8	3/4	2	1	viio	G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
21	20	0	0	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
21	20	1/4	1/4	3/4	2	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
21	20	1/2	1/2	3/4	2	1	vi6	G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
22	21	0	0	3/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	21	1/4	1/4	3/4	2	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
22	21	1/2	1/2	3/4	2	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	21	5/8	5/8	3/4	2	1	viio/V	G	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
23	22	0	0	3/4	2	1	V}	G	I		V	V						}	M	0	0	1, 5, 2		1	1
24	23	0	0	3/4	2	1	V.I6{	G	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
24	23	1/4	1/4	3/4	2	1	V43	G	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
24	23	1/2	1/2	3/4	2	1	I(4)	G	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
24	23	5/8	5/8	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
25	24	0	0	3/4	2	1	V6(6)	G	V		V6(6)	V		6	6				M	0	0	5, 4, 1		1	5
25	24	1/8	1/8	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
25	24	1/4	1/4	3/4	2	1	vi7(4)	G	V		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
25	24	3/8	3/8	3/4	2	1	vi7	G	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
25	24	1/2	1/2	3/4	2	1	V(4)	G	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
25	24	5/8	5/8	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
26	25	0	0	3/4	2	1	vi7(4)	G	V		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
26	25	1/16	1/16	3/4	2	1	vi7	G	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
26	25	1/4	1/4	3/4	2	1	V6(6)	G	V		V6(6)	V		6	6				M	0	0	5, 4, 1		1	5
26	25	5/16	5/16	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
26	25	1/2	1/2	3/4	2	1	I(4)	G	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
26	25	9/16	9/16	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
27	26	0	0	3/4	2	1	V43	G	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
27	26	1/4	1/4	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
27	26	1/2	1/2	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
28	27	0	0	3/4	2	1	I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
28	27	1/4	1/4	3/4	2	1	V43	G	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
28	27	1/2	1/2	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
29	28	0	0	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
29	28	1/4	1/4	3/4	2	1	vi7	G	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
29	28	1/2	1/2	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
30	29	0	0	3/4	2	1	vi7	G	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
30	29	1/4	1/4	3/4	2	1	V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
30	29	1/2	1/2	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
31	30	0	0	3/4	2	1	V43	G	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	30	1/4	1/4	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
31	30	1/2	1/2	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
32	31	0	0	3/4	2	1	I}{	G	V		I	I						}{	M	0	0	0, 4, 1		0	0
32	31	1/2	1/2	3/4	2	1	viio	G	V		viio	vii	o						o	0	0	5, 2, -1		5	5
32	31	5/8	5/8	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
33	32	1/2	1/2	3/4	2	1	vii%7	G	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
33	32	5/8	5/8	3/4	2	1	I	G	V		I	I							M	0	0	0, 4, 1		0	0
34	33	1/2	1/2	3/4	2	1	viio/V	G	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
34	33	5/8	5/8	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
35	34	0	0	3/4	2	1	viio/IV	G	V		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
35	34	1/8	1/8	3/4	2	1	IV	G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
35	34	1/4	1/4	3/4	2	1	viio43/V	G	V		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
35	34	3/8	3/8	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
35	34	1/2	1/2	3/4	2	1	viio43/IV	G	V		viio43/IV	vii	o	43		IV			o7	0	0	-2, -5, 4, 1		4	-2
35	34	5/8	5/8	3/4	2	1	IV6	G	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
36	35	0	0	3/4	2	1	V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	35	1/2	1/2	3/4	2	1	V2	G	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
37	36	0	0	3/4	2	1	I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
38	37	0	0	3/4	2	1	ii6	G	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
38	37	1/4	1/4	3/4	2	1	V(64)	G	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
38	37	1/2	1/2	3/4	2	1	V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	38	0	0	3/4	2	1	I}{	G	V		I	I						}{	M	0	0	0, 4, 1		0	0
39	38	1/2	1/2	3/4	2	1	viio/V	G	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
39	38	5/8	5/8	3/4	2	1	V	G	V		V	V							M	0	0	1, 5, 2		1	1
40	39	0	0	3/4	2	1	viio/IV	G	V		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
40	39	1/8	1/8	3/4	2	1	IV	G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
40	39	1/4	1/4	3/4	2	1	viio43/V	G	V		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
40	39	3/8	3/8	3/4	2	1	V6	G	V		V6	V		6					M	0	0	5, 2, 1		1	5
40	39	1/2	1/2	3/4	2	1	viio43/IV	G	V		viio43/IV	vii	o	43		IV			o7	0	0	-2, -5, 4, 1		4	-2
40	39	5/8	5/8	3/4	2	1	IV6	G	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
41	40	0	0	3/4	2	1	V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	40	1/2	1/2	3/4	2	1	V2	G	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
42	41	0	0	3/4	2	1	I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
43	42	0	0	3/4	2	1	ii6	G	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
