key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d minor	[0.012, 0.156, 1.0, 0.054, 0.323, 0.288, 0.072, 0.108, 0.288, 0.753, 0.209, 0.204]	0.0	35.5	35.5	1	9	8
B- major	[0.087, 0.0, 0.329, 0.116, 0.0, 0.249, 0.046, 0.081, 0.023, 0.069, 1.0, 0.0]	35.5	52.0	0.5	9	14	5
d minor	[0.17, 0.574, 0.562, 0.511, 0.255, 0.136, 0.213, 0.213, 0.129, 1.0, 0.234, 0.051]	52.0	76.0	4.0	14	19	5
