mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	4/4	2	1	Bb.I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	4/4	2	1	vi6	Bb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
3	2	0	0	4/4	2	1	ii(4)	Bb	I		ii(4)		ii			4				m	0	0	2, 1, 3		2	2
3	2	1/4	1/4	4/4	2	1	ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	0	0	4/4	2	1	V(4)	Bb	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
4	3	1/4	1/4	4/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	4/4	2	1	I(97)	Bb	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
5	4	1/4	1/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	0	0	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	5	1/4	1/4	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	1/2	1/2	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	5	3/4	3/4	4/4	2	1	viio6	Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
7	6	0	0	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	1/4	1/4	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	1/2	1/2	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	3/4	3/4	4/4	2	1	viio6	Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
9	8	0	0	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	0	0	4/4	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
