mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	2	1	Bb.I{		Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	3/4	3/4	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	0	0	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
2	2	1/2	1/2	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	3/4	3/4	2/2	2	1	viio64		Bb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
3	3	0	0	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	2/2	2	1	V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	3	1/2	1/2	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	2/2	2	1	V(64)}		Bb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
4	4	1/2	1/2	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	2/2	2	1	I{		Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	3/4	3/4	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	0	0	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
6	6	1/2	1/2	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
6	6	3/4	3/4	2/2	2	1	viio64		Bb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
7	7	0	0	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	1/4	1/4	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/2	1/2	2/2	2	1	V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	3/4	3/4	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
8	8	0	0	2/2	2	1	I}		Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
9	9	0	0	2/2	2	1	{		Bb	I										{		0	0				
9	9	1/2	1/2	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
10	10	0	0	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	10	1/2	1/2	2/2	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	0	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	1/4	1/4	2/2	2	1	V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
11	11	1/2	1/2	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	3/4	3/4	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	0	0	2/2	2	1	V(64)}		Bb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
12	12	1/2	1/2	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
13	13	0	0	2/2	2	1	I{		Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
14	14	0	0	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	14	1/2	1/2	2/2	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	0	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	1/4	1/4	2/2	2	1	ii65		Bb	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	15	1/2	1/2	2/2	2	1	V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	15	3/4	3/4	2/2	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	2/2	2	1	I}		Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
16	16	3/8	3/8	2/2	2	1	{		Bb	I										{		0	0				
17	17	1/2	1/2	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
17	17	3/4	3/4	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	18	0	0	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
19	19	0	0	2/2	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	1/4	1/4	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
19	19	1/2	1/2	2/2	2	1	viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
19	19	3/4	3/4	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
20	20	0	0	2/2	2	1	I}		Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
20	20	3/8	3/8	2/2	2	1	{		Bb	I										{		0	0				
21	21	0	0	2/2	2	1	V.I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
21	21	1/2	1/2	2/2	2	1	I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
22	22	0	0	2/2	2	1	viio6		Bb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
22	22	1/2	1/2	2/2	2	1	viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
23	23	0	0	2/2	2	1	I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
24	24	0	0	2/2	2	1	V(64)}		Bb	V		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
24	24	1/4	1/4	2/2	2	1	V		Bb	V		V		V							M	0	0	1, 5, 2		1	1
24	24	1/2	1/2	2/2	2	1	V2{		Bb	V		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	0	0	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	1/2	1/2	2/2	2	1	V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
26	26	0	0	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	1/2	1/2	2/2	2	1	V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	27	0	0	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
27	27	1/2	1/2	2/2	2	1	V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
28	28	0	0	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
28	28	1/2	1/2	2/2	2	1	V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
29	29	0	0	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
30	30	0	0	2/2	2	1	IV		Bb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
30	30	3/4	3/4	2/2	2	1	ii65		Bb	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
31	31	0	0	2/2	2	1	V(64)		Bb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
31	31	1/2	1/2	2/2	2	1	V7		Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	0	0	2/2	2	1	I}{		Bb	V		I		I						}{	M	0	0	0, 4, 1		0	0
32	32	3/8	3/8	2/2	2	1	viio6		Bb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
32	32	1/2	1/2	2/2	2	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	7/8	7/8	2/2	2	1	V+6/IV		Bb	V		V+6/IV		V	+	6		IV			+	0	0	4, 8, 0		0	4
33	33	0	0	2/2	2	1	IV		Bb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
33	33	1/2	1/2	2/2	2	1	ii6		Bb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	34	0	0	2/2	2	1	V(64)		Bb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
35	35	0	0	2/2	2	1	V7		Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	36	0	0	2/2	2	1	I}		Bb	V		I		I						}	M	0	0	0, 4, 1		0	0
37	37	0	0	2/2	2	1	I.vi2		Bb	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
37	37	3/4	3/4	2/2	2	1	V(#4#2)		Bb	I		V(#4#2)		V			#4#2				M	0	0	1, 10, 7		1	1
38	38	0	0	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
38	38	1/4	1/4	2/2	2	1	V+		Bb	I		V+		V	+						+	0	0	1, 5, 9		1	1
38	38	1/2	1/2	2/2	2	1	V64		Bb	I		V64		V		64					M	0	0	2, 1, 5		1	2
38	38	3/4	3/4	2/2	2	1	#viio64/ii		Bb	I		#viio64/ii		#vii	o	64		ii			o	0	0	1, 7, 4		7	1
39	39	0	0	2/2	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	41	0	0	2/2	2	1	I{		Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
41	41	1/2	1/2	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
41	41	3/4	3/4	2/2	2	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
42	42	0	0	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
42	42	1/2	1/2	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
42	42	3/4	3/4	2/2	2	1	viio64		Bb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
43	43	0	0	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
43	43	1/4	1/4	2/2	2	1	V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
43	43	1/2	1/2	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
