COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Chopin, Frédéric",Études Op.10,12,29-32,iv-i-iv-i,D# minor-C# minor
"Chopin, Frédéric",Mazurkas,BI153-1,138-139,iv6/bV-bV6-iv6/IV-IV6,G major
"Chopin, Frédéric",Mazurkas,BI153-1,139-140,iv6/IV-IV6-iv6/III-III6,G major
"Chopin, Frédéric",Mazurkas,BI153-1,140-141,iv6/bIII-bIII6-iv6/II-II6,G major
"Chopin, Frédéric",Mazurkas,BI153-1,141-142,iv6/II-II6-iv6/#I-#I6,G major
"Chopin, Frédéric",Mazurkas,BI157-2,67-68,viio-IV6-vi64-V/vi,Ab major
"Dvořák, Antonín","Silhouettes, Op.8",Op08 No7,28-29,iv-i-I-V43[no3][add4],B minor-D major
"Grieg, Edvard",Lyric Pieces,Op43 No3,2-3,v-ii-IV-I,F# major
"Grieg, Edvard",Lyric Pieces,Op43 No3,14-15,v-ii-IV-I,F# major
"Grieg, Edvard",Lyric Pieces,Op43 No3,26-27,v-ii-IV-I,F# major
"Liszt, Franz",Années de pèlerinage,S160 1 Chapelle de Guillaume Tell,18-19,bII6-bVI-i6-V[no5][no3][addb6][add4],G major
"Liszt, Franz",Années de pèlerinage,S160 4 Au Bord dUne Source,23-24,v-#iiø65-iv-#iø65,Eb major
"Liszt, Franz",Années de pèlerinage,S160 4 Au Bord dUne Source,43-43,iiø7-bVI64-I6-V7[no3][add4],Ab major
"Medtner, Nikolai",Tales,Op35 No3,77-77,i-V[no5][add6]-vii-V[no5][add6]/vii,A minor
"Medtner, Nikolai",Tales,Op35 No3,77-77,vii-V[no5][add6]/vii-VI-V[no5][add6]/VI,A minor
"Medtner, Nikolai",Tales,Op35 No3,78-78,i-V[no5][add6]-vii-V[no5][add6]/vii,A minor
"Medtner, Nikolai",Tales,Op35 No3,78-78,vii-V[no5][add6]/vii-VI-V[no5][add6]/VI,A minor
