COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian",The Well-Tempered Clavier I,07,57/70,V65/IV-IV-V7-I,Ab major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,19,2/24,V7/IV-IV-V7-I,A major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,19,19/24,V7/IV-IV-viiø65-I,A major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,19,21/24,V65/IV-IV64-viiø7-I,A major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,19 fugue,52/54,viio/IV-IV-viio-I,A major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,21,8/20,V43/IV-IV-V65-I,F major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,22 fugue,8/75,V6/5/IV-IV-viiø6-i,Bb minor
"Bach, Johann Sebastian",The Well-Tempered Clavier I,22 fugue,59/75,V7/iv-iv-viio4/3-i,Bb minor
"Bach, Johann Sebastian",The Well-Tempered Clavier I,24,44/47,V64/iv-iv-viio65-i,B minor
"Bach, Johann Sebastian",The Well-Tempered Clavier II,11 fugue,53/99,V2/IV-IV6-V6/5-I6,F major
"Chopin, Frédéric",Études Op.10,12,79/84,V7/iv-iv64-viio43-I,C minor
"Chopin, Frédéric",Mazurkas,BI157-1,10/130,V7/iv-iv-V7-i,A minor
"Chopin, Frédéric",Mazurkas,BI157-1,34/130,V7/iv-iv-V7-i,A minor
"Grieg, Edvard",Lyric Pieces,Op38 No7,14/53,V65/iv-iv-V7-i,E minor
"Liszt, Franz",Années de pèlerinage,S162 3 Tarantella da Guillaume Louis Cottrau. Presto e canzone napolitana,205/476,V2/IV-IV6-viio2-Cad64,Eb major
"Schumann, Robert","Kinderszenen, Op.15",4,5/17,viio43/IV-IV6-viio2-I,D major
"Schumann, Robert","Kinderszenen, Op.15",4,7/17,viio43/IV-IV6-viio2-I,D major
