COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian",The Well-Tempered Clavier I,24,7-9,I-V-ii-vi,D major
"Bach, Johann Sebastian",The Well-Tempered Clavier I,24,8-9,V-ii-vi-i,D major-F# minor
"Bach, Johann Sebastian",The Well-Tempered Clavier I,24,8-10,ii-vi-i-V2[no3],D major-F# minor
"Bach, Johann Sebastian",The Well-Tempered Clavier I,24,12-14,III-iv-i-V2[no3],F# minor-B minor
"Debussy, Claude","Suite Bergamasque, L.75",2 Menuet,15-16,IVd7[add6]-i-v6-V43/V,A minor
"Debussy, Claude","Suite Bergamasque, L.75",2 Menuet,16-16,i-v6-V43/V-vi,A minor
"Debussy, Claude","Suite Bergamasque, L.75",2 Menuet,16-16,v6-V43/V-vi-III6,A minor
"Grieg, Edvard",Lyric Pieces,Op71 No5,15-17,IVM43[add2]-I-I-V,G major-D major
"Medtner, Nikolai",Tales,Op48 No1,312-313,iv64[no3][add4]-iv7/v-v64[addb9]-V7/v,C major
"Medtner, Nikolai",Tales,Op48 No1,316-317,vi64[no8][add7]-#viø7/v-bVII64[add9]-V7/bVII,C major
"Medtner, Nikolai",Tales,Op48 No1,339-340,V64/V-bVIM7-bIII+6-bVII+,C major
"Tchaikovsky, Pyotr","Seasons, Op.37a",11,12-13,IV6[add4]-#viio2/ii-V65-ii,E major
"Tchaikovsky, Pyotr","Seasons, Op.37a",11,62-63,IV[add4]-#viio2/ii-V65-ii,E major
