mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
43	43	0	0	2/4	4	1		V65		F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	43	1/4	1/4	2/4	4	1		V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
43	43	3/8	3/8	2/4	4	1		V65		F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
44	44	0	0	2/4	4	1		V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	1/8	1/8	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
44	44	1/4	1/4	2/4	4	1		IVM7		F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
44	44	3/8	3/8	2/4	4	1		IV/IV		F	V		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
45	45	0	0	2/4	4	1		V43/vi		F	V		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
45	45	1/8	1/8	2/4	4	1		vi		F	V		vi	vi							m	0	0	3, 0, 4		3	3
45	45	1/4	1/4	2/4	4	1		V7/V		F	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
45	45	3/8	3/8	2/4	4	1		V		F	V		V	V							M	0	0	1, 5, 2		1	1
46	46	0	0	2/4	4	1		i6		F	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
46	46	3/8	3/8	2/4	4	1		#viio7/iii		F	V		#viio7/iii	#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
47	47	0	0	2/4	4	1		iii		F	V		iii	iii							m	0	0	4, 1, 5		4	4
47	47	3/8	3/8	2/4	4	1		viio6		F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
48	48	0	0	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
48	48	1/8	1/8	2/4	4	1		V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
48	48	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
48	48	3/8	3/8	2/4	4	1		vi		F	V		vi	vi							m	0	0	3, 0, 4		3	3
49	49	0	0	2/4	4	1		V6/vi		F	V		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
49	49	1/8	1/8	2/4	4	1		V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
49	49	1/4	1/4	2/4	4	1		IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
50	50	0	0	2/4	4	1		V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
50	50	1/4	1/4	2/4	4	1		V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
51	51	0	0	2/4	4	1		I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	1/4	1/4	2/4	4	1		vi(+6)		F	V		vi(+6)	vi			+6				m	0	0	3, 0, 4	-1	3	3
51	51	5/16	5/16	2/4	4	1		viio6/V		F	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
52	52	0	0	2/4	4	1		V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
52	52	1/4	1/4	2/4	4	1		#viio2/vi		F	V		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
52	52	5/12	5/12	2/4	4	1		V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
53	53	0	0	2/4	4	1		I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
53	53	1/8	1/8	2/4	4	1		V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
53	53	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
53	53	3/8	3/8	2/4	4	1		V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
54	54	0	0	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
54	54	1/4	1/4	2/4	4	1		V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	55	0	0	2/4	4	1		I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
55	55	1/8	1/8	2/4	4	1		ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
55	55	1/4	1/4	2/4	4	1		V		F	V		V	V							M	0	0	1, 5, 2		1	1
55	55	3/8	3/8	2/4	4	1		V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	56	0	0	2/4	4	1		I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
56	56	1/4	1/4	2/4	4	1		V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	57	0	0	2/4	4	1		I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
57	57	1/8	1/8	2/4	4	1		ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
57	57	1/4	1/4	2/4	4	1		V(64)		F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
57	57	3/8	3/8	2/4	4	1		V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	58	0	0	2/4	4	1		V43/ii		F	V		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
58	58	3/8	3/8	2/4	4	1		V2/ii		F	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
59	59	0	0	2/4	4	1		ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
59	59	3/8	3/8	2/4	4	1		V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	60	0	0	2/4	4	1		I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
60	60	3/8	3/8	2/4	4	1		V2/ii		F	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
61	61	0	0	2/4	4	1		ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
61	61	3/8	3/8	2/4	4	1		V		F	V		V	V							M	0	0	1, 5, 2		1	1
62	62	1/4	1/4	2/4	4	1		@none		F	V		@none	@none							m	0	0				
65	65	0	0	2/4	4	1		V6/V		F	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
65	65	1/4	1/4	2/4	4	1		V2/V		F	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
66	66	0	0	2/4	4	1		V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
67	67	0	0	2/4	4	1		IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
67	67	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
68	68	0	0	2/4	4	1		V		F	V		V	V							M	0	0	1, 5, 2		1	1
68	68	1/4	1/4	2/4	4	1		IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
69	69	0	0	2/4	4	1		V		F	V		V	V							M	0	0	1, 5, 2		1	1
69	69	1/4	1/4	2/4	4	1		V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
70	70	0	0	2/4	4	1		v.i		F	v		i	i							m	0	1	0, -3, 1		0	0
70	70	1/4	1/4	2/4	4	1		i6		F	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
71	71	0	0	2/4	4	1		bII6		F	v		bII6	bII		6					M	0	1	-1, -4, -5		-5	-1
71	71	1/4	1/4	2/4	4	1		IV64		F	v		IV64	IV		64					M	0	1	0, -1, 3		-1	0
72	72	0	0	2/4	4	1		bIII.viio6		F	bIII		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
72	72	1/4	1/4	2/4	4	1		V7(9)		F	bIII		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
73	73	0	0	2/4	4	1		V		F	bIII		V	V							M	0	0	1, 5, 2		1	1
73	73	1/4	1/4	2/4	4	1		V7		F	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	74	0	0	2/4	4	1		I6		F	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
74	74	1/4	1/4	2/4	4	1		V64		F	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
75	75	0	0	2/4	4	1		IV		F	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
75	75	1/4	1/4	2/4	4	1		I		F	bIII		I	I							M	0	0	0, 4, 1		0	0
76	76	0	0	2/4	4	1		viio7		F	bIII		viio7	vii	o	7					o7	0	0	5, 2, -1, -4		5	5
76	76	1/4	1/4	2/4	4	1		V6/ii		F	bIII		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
76	76	15/32	15/32	2/4	4	1		ii		F	bIII		ii	ii							m	0	0	2, -1, 3		2	2
77	77	0	0	2/4	4	1		V43		F	bIII		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
77	77	1/4	1/4	2/4	4	1		V65(+4+2)		F	bIII		V65(+4+2)	V		65	+4+2				Mm7	0	0	5, 2, -1, 1	0, 3	1	5
77	77	15/32	15/32	2/4	4	1		V65		F	bIII		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
78	78	0	0	2/4	4	1		I		F	bIII		I	I							M	0	0	0, 4, 1		0	0
78	78	1/4	1/4	2/4	4	1		iv6/ii		F	bIII		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
79	79	0	0	2/4	4	1		V7/ii		F	bIII		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
79	79	1/4	1/4	2/4	4	1		I.I[viio64		F	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
79	79	15/32	15/32	2/4	4	1		I]		F	I	I	I	I							M	0	0	0, 4, 1		0	0
80	80	0	0	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
82	82	0	0	2/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
82	82	1/4	1/4	2/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
82	82	11/32	11/32	2/4	4	1		V7/IV		F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
83	83	0	0	2/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
83	83	11/32	11/32	2/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
84	84	3/8	3/8	2/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
85	85	0	0	2/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
85	85	1/8	1/8	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
85	85	1/4	1/4	2/4	4	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
85	85	11/32	11/32	2/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	86	0	0	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
88	88	3/8	3/8	2/4	4	1		iii64		F	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
89	89	1/8	1/8	2/4	4	1		iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
89	89	1/4	1/4	2/4	4	1		V7/iii		F	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
90	90	0	0	2/4	4	1		iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
90	90	1/8	1/8	2/4	4	1		V/iii		F	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
90	90	1/4	1/4	2/4	4	1		V7/vi		F	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
91	91	0	0	2/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
91	91	1/8	1/8	2/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
91	91	1/4	1/4	2/4	4	1		V43/vi		F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
92	92	0	0	2/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
92	92	1/8	1/8	2/4	4	1		V43/vi		F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
92	92	1/4	1/4	2/4	4	1		V6/ii		F	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
93	93	0	0	2/4	4	1		II.I64		F	II		I64	I		64					M	0	0	1, 0, 4		0	1
93	93	1/8	1/8	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
93	93	1/4	1/4	2/4	4	1		V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
93	93	3/8	3/8	2/4	4	1		V65		F	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
94	94	0	0	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
94	94	1/8	1/8	2/4	4	1		V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	94	1/4	1/4	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
95	95	1/8	1/8	2/4	4	1		V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
95	95	1/4	1/4	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
96	96	0	0	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
96	96	1/8	1/8	2/4	4	1		V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	96	1/4	1/4	2/4	4	1		I		F	II		I	I							M	0	0	0, 4, 1		0	0
97	97	0	0	2/4	4	1		V.I		F	V		I	I							M	0	0	0, 4, 1		0	0
97	97	1/8	1/8	2/4	4	1		V7(b9)		F	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
97	97	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
98	98	0	0	2/4	4	1		I[I		F	V	I	I	I							M	0	0	0, 4, 1		0	0
98	98	1/8	1/8	2/4	4	1		V7		F	V	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
98	98	1/4	1/4	2/4	4	1		I		F	V	I	I	I							M	0	0	0, 4, 1		0	0
98	98	3/8	3/8	2/4	4	1		I6		F	V	I	I6	I		6					M	0	0	4, 1, 0		0	4
99	99	0	0	2/4	4	1		I]		F	V	I	I	I							M	0	0	0, 4, 1		0	0
99	99	1/8	1/8	2/4	4	1		V7(b9)		F	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
99	99	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
100	100	1/8	1/8	2/4	4	1		V7(b9)		F	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
100	100	1/4	1/4	2/4	4	1		I		F	V		I	I							M	0	0	0, 4, 1		0	0
100	100	3/8	3/8	2/4	4	1		i.iv6		F	i		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
102	102	1/4	1/4	2/4	4	1		V7		F	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
103	103	11/32	11/32	2/4	4	1		V2		F	i		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
104	104	0	0	2/4	4	1		I.I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
104	104	1/8	1/8	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
104	104	1/4	1/4	2/4	4	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
104	104	3/8	3/8	2/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
105	105	0	0	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
105	105	3/8	3/8	2/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
106	106	0	0	2/4	4	1		I	V	F	I		I	I							M	0	0	0, 4, 1		0	0
106	106	1/16	1/16	2/4	4	1		ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
106	106	1/4	1/4	2/4	4	1		V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
106	106	3/8	3/8	2/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
107	107	0	0	2/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
107	107	1/8	1/8	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
107	107	3/8	3/8	2/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
108	108	0	0	2/4	4	1		I	V	F	I		I	I							M	0	0	0, 4, 1		0	0
108	108	3/32	3/32	2/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
108	108	1/4	1/4	2/4	4	1		V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
108	108	11/32	11/32	2/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
109	109	0	0	2/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
109	109	1/4	1/4	2/4	4	1		V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
109	109	3/8	3/8	2/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
110	110	0	0	2/4	4	1		@none		F	I		@none	@none							m	0	0				
114	114	0	0	2/4	4	1		ii.#viio7		F	ii		#viio7	#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
114	114	1/4	1/4	2/4	4	1		i64		F	ii		i64	i		64					m	0	1	1, 0, -3		0	1
114	114	3/8	3/8	2/4	4	1		VI		F	ii		VI	VI							M	0	1	-4, 0, -3		-4	-4
115	115	0	0	2/4	4	1		V		F	ii		V	V							M	0	1	1, 5, 2		1	1
115	115	1/8	1/8	2/4	4	1		V2		F	ii		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
115	115	3/8	3/8	2/4	4	1		i		F	ii		i	i							m	0	1	0, -3, 1		0	0
116	116	0	0	2/4	4	1		VII		F	ii		VII	VII							M	0	1	-2, 2, -1		-2	-2
116	116	1/4	1/4	2/4	4	1		V43/III		F	ii		V43/III	V		43		III			Mm7	0	1	-1, -4, -2, 2		-2	-1
117	117	0	0	2/4	4	1		III(b4)		F	ii		III(b4)	III			b4				M	0	1	-3, -11, -2		-3	-3
117	117	1/8	1/8	2/4	4	1		III		F	ii		III	III							M	0	1	-3, 1, -2		-3	-3
117	117	1/4	1/4	2/4	4	1		@none		F	ii		@none	@none							m	0	1				
119	119	0	0	2/4	4	1		V		F	ii		V	V							M	0	1	1, 5, 2		1	1
119	119	1/8	1/8	2/4	4	1		VI		F	ii		VI	VI							M	0	1	-4, 0, -3		-4	-4
119	119	3/8	3/8	2/4	4	1		V7/III		F	ii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
121	121	0	0	2/4	4	1		I.viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
121	121	1/4	1/4	2/4	4	1		V[viio		F	I	V	viio	vii	o						o	0	0	5, 2, -1		5	5
123	123	1/4	1/4	2/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
123	123	3/8	3/8	2/4	4	1		i		F	I	V	i	i							m	0	0	0, -3, 1		0	0
124	124	0	0	2/4	4	1		V2/V		F	I	V	V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
124	124	1/4	1/4	2/4	4	1		viio]		F	I	V	viio	vii	o						o	0	0	5, 2, -1		5	5
125	125	0	0	2/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
127	127	0	0	2/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
128	128	5/16	5/16	2/4	4	1		V43/V		F	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
129	129	0	0	2/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
130	130	0	0	2/4	4	1		V(4)/V		F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
130	130	1/4	1/4	2/4	4	1		V7/V		F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
131	131	0	0	2/4	4	1		V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
