key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.088, 0.0, 0.048, 0.368, 0.0, 0.037, 0.0, 0.151, 0.029, 0.0, 0.279, 0.0]	0.0	22.5	22.5	1	16	15
B- major	[0.233, 0.0, 0.17, 0.16, 0.0, 0.116, 0.078, 0.0, 0.0, 0.107, 0.136, 0.0]	22.5	31.5	9.0	16	22	6
E- major	[0.068, 0.0, 0.049, 0.367, 0.0, 0.036, 0.0, 0.157, 0.083, 0.006, 0.214, 0.021]	31.5	57.0	25.5	22	39	17
B- major	[0.229, 0.0, 0.176, 0.157, 0.0, 0.143, 0.048, 0.0, 0.0, 0.105, 0.143, 0.0]	57.0	66.0	9.0	39	45	6
E- major	[0.054, 0.0, 0.066, 0.302, 0.0, 0.034, 0.0, 0.128, 0.127, 0.01, 0.245, 0.034]	66.0	81.0	15.0	45	55	10
C- major	[0.0, 0.213, 0.0, 0.2, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.013, 0.293]	81.0	85.5	4.5	55	58	3
A- major	[0.056, 0.056, 0.019, 0.259, 0.0, 0.139, 0.0, 0.111, 0.222, 0.0, 0.139, 0.0]	85.5	90.0	4.5	58	62	4
E- major	[0.079, 0.0, 0.063, 0.288, 0.0, 0.03, 0.0, 0.073, 0.237, 0.018, 0.212, 0.0]	90.0	100.5	10.5	62	69	7
C- major	[0.0, 0.222, 0.0, 0.222, 0.0, 0.0, 0.222, 0.056, 0.0, 0.0, 0.13, 0.148]	100.5	105.0	4.5	69	72	3
A- major	[0.0, 0.088, 0.018, 0.272, 0.0, 0.132, 0.079, 0.105, 0.0, 0.0, 0.184, 0.123]	105.0	109.5	4.5	72	76	4
E- major	[0.074, 0.0, 0.052, 0.261, 0.0, 0.035, 0.0, 0.093, 0.236, 0.009, 0.239, 0.0]	109.5	123.0	13.5	76	82	6
