mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		Db.viio6(2)		Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
1	1	1/2	1/2	4/4	4	1		viio6		Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	0	0	4/4	4	1		vi6		Db	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
2	2	1/4	1/4	4/4	4	1		viio6(2)		Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
2	2	1/2	1/2	4/4	4	1		viio6		Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	7/8	7/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	3/4	3/4	4/4	4	1		V43		Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	4/4	4	1		I6		Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	1/2	1/2	4/4	4	1		IV		Db	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	5/8	5/8	4/4	4	1		V43		Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	11/16	11/16	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	3/4	3/4	4/4	4	1		V(64)		Db	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	7/8	7/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	4/4	4	1		I\\		Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	3/4	3/4	4/4	4	1		V65		Db	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	7/8	7/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	4/4	4	1		IVM7		Db	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
6	6	5/8	5/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	3/4	3/4	4/4	4	1		vi		Db	I		vi	vi							m	0	0	3, 0, 4		3	3
6	6	7/8	7/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	0	0	4/4	4	1		V.ii		Db	V		ii	ii							m	0	0	2, -1, 3		2	2
7	7	1/8	1/8	4/4	4	1		vii%7		Db	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
7	7	3/16	3/16	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	1/4	1/4	4/4	4	1		iii7		Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
7	7	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	1/2	1/2	4/4	4	1		ii7		Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	7	5/8	5/8	4/4	4	1		V64		Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
7	7	3/4	3/4	4/4	4	1		iii7		Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
7	7	7/8	7/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	0	0	4/4	4	1		ii7		Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	3/16	3/16	4/4	4	1		V64		Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
8	8	1/4	1/4	4/4	4	1		iii		Db	V		iii	iii							m	0	0	4, 1, 5		4	4
8	8	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	1/2	1/2	4/4	4	1		ii65		Db	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	5/8	5/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
8	8	3/4	3/4	4/4	4	1		i		Db	V		i	i							m	0	0	0, -3, 1		0	0
8	8	7/8	7/8	4/4	4	1		V6/V		Db	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
9	9	0	0	4/4	4	1		I.ii		Db	I		ii	ii							m	0	0	2, -1, 3		2	2
9	9	1/8	1/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
9	9	3/8	3/8	4/4	4	1		I6		Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	4/4	4	1		ii6		Db	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	5/8	5/8	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
9	9	3/4	3/4	4/4	4	1		I\\		Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	0	0	4/4	4	1		ii		Db	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	1/8	1/8	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
10	10	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
10	10	1/2	1/2	4/4	4	1		V/V		Db	I		V/V	V				V			M	0	0	2, 6, 3		2	2
10	10	3/4	3/4	4/4	4	1		V		Db	I		V	V							M	0	0	1, 5, 2		1	1
11	11	0	0	4/4	4	1		V.I		Db	V		I	I							M	0	0	0, 4, 1		0	0
11	11	1/2	1/2	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
12	12	0	0	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
12	12	1/2	1/2	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	3/4	3/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	0	0	4/4	4	1		V7/vi		Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
13	13	1/4	1/4	4/4	4	1		vi		Db	V		vi	vi							m	0	0	3, 0, 4		3	3
13	13	1/2	1/2	4/4	4	1		V7/IV		Db	V		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
14	14	0	0	4/4	4	1		@none		Db	V		@none	@none							m	0	0				
14	14	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	5/8	5/8	4/4	4	1		V6		Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
14	14	7/8	7/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	4/4	4	1		ii6		Db	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
15	15	1/4	1/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	1/2	1/2	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	5/8	5/8	4/4	4	1		V		Db	V		V	V							M	0	0	1, 5, 2		1	1
15	15	3/4	3/4	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	0	0	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	1/8	1/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
16	16	3/8	3/8	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	1/2	1/2	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	5/8	5/8	4/4	4	1		V65		Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
16	16	7/8	7/8	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
17	17	0	0	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	1/4	1/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
17	17	3/8	3/8	4/4	4	1		V6/vi		Db	V		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
17	17	15/16	15/16	4/4	4	1		V7/vi		Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
18	18	0	0	4/4	4	1		III.V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	3/16	3/16	4/4	4	1		V65		Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	1/4	1/4	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
18	18	1/2	1/2	4/4	4	1		V43		Db	III		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	5/8	5/8	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	3/4	3/4	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
18	18	7/8	7/8	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	15/16	15/16	4/4	4	1		V65		Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	0	0	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
19	19	1/16	1/16	4/4	4	1		viio6		Db	III		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
19	19	1/8	1/8	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	3/16	3/16	4/4	4	1		viio65		Db	III		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
19	19	1/4	1/4	4/4	4	1		v%2		Db	III		v%2	v	%	2					%7	0	0	-1, 1, -2, -5		1	-1
19	19	5/16	5/16	4/4	4	1		V65/V		Db	III		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	19	3/8	3/8	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
19	19	1/2	1/2	4/4	4	1		V(+b2)		Db	III		V(+b2)	V			+b2				M	0	0	1, 5, 2	-4	1	1
20	20	0	0	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
20	20	1/2	1/2	4/4	4	1		V7/V		Db	III		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21	21	0	0	4/4	4	1		V		Db	III		V	V							M	0	0	1, 5, 2		1	1
21	21	1/2	1/2	4/4	4	1		V(64)		Db	III		V(64)	V			64				M	0	0	1, 0, 4		1	1
21	21	3/4	3/4	4/4	4	1		V7		Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	0	0	4/4	4	1		I		Db	III		I	I							M	0	0	0, 4, 1		0	0
22	22	1/4	1/4	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	1/2	1/2	4/4	4	1		V64		Db	III		V64	V		64					M	0	0	2, 1, 5		1	2
22	22	5/8	5/8	4/4	4	1		I6		Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	3/4	3/4	4/4	4	1		V2		Db	III		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
22	22	7/8	7/8	4/4	4	1		I64		Db	III		I64	I		64					M	0	0	1, 0, 4		0	1
23	23	0	0	4/4	4	1		iii.iv		Db	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
23	23	1/4	1/4	4/4	4	1		iv6		Db	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
23	23	1/2	1/2	4/4	4	1		VI		Db	iii		VI	VI							M	0	1	-4, 0, -3		-4	-4
23	23	3/4	3/4	4/4	4	1		VI6		Db	iii		VI6	VI		6					M	0	1	0, -3, -4		-4	0
23	23	27/32	27/32	4/4	4	1		V.ii43		Db	V		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
24	24	0	0	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	1/4	1/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	1/2	1/2	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
24	24	5/8	5/8	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	3/4	3/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
25	25	1/4	1/4	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
25	25	5/8	5/8	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	3/4	3/4	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
25	25	7/8	7/8	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
26	26	0	0	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
26	26	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
26	26	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
26	26	3/4	3/4	4/4	4	1		V43		Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
27	27	0	0	4/4	4	1		I		Db	V		I	I							M	0	0	0, 4, 1		0	0
27	27	1/4	1/4	4/4	4	1		IV		Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	27	1/2	1/2	4/4	4	1		V(64)		Db	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
27	27	3/4	3/4	4/4	4	1		V7		Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	0	0	4/4	4	1		I64		Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
28	28	1/4	1/4	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
28	28	1/2	1/2	4/4	4	1		I6		Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
28	28	5/8	5/8	4/4	4	1		V2		Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
