key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G major	[0.052, 0.039, 0.204, 0.009, 0.07, 0.0, 0.061, 0.339, 0.0, 0.074, 0.035, 0.117]	0.0	10.5	10.5	0	11	11
b minor	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.732, 0.122, 0.0, 0.0, 0.049, 0.098]	10.5	12.0	1.5	11	12	1
B major	[0.04, 0.02, 0.0, 0.081, 0.061, 0.0, 0.485, 0.101, 0.051, 0.02, 0.0, 0.141]	12.0	16.5	4.5	12	17	5
G major	[0.156, 0.011, 0.098, 0.169, 0.041, 0.037, 0.075, 0.129, 0.114, 0.112, 0.007, 0.05]	16.5	40.5	24.0	17	41	24
E major	[0.086, 0.0, 0.012, 0.074, 0.291, 0.0, 0.055, 0.154, 0.037, 0.055, 0.099, 0.136]	40.5	45.5	5.0	41	46	5
b minor	[0.028, 0.111, 0.056, 0.028, 0.139, 0.0, 0.125, 0.25, 0.0, 0.069, 0.111, 0.083]	45.5	49.5	4.0	46	50	4
E major	[0.028, 0.014, 0.099, 0.056, 0.197, 0.07, 0.07, 0.113, 0.07, 0.028, 0.056, 0.197]	49.5	53.5	4.0	50	54	4
c- minor	[0.0, 0.256, 0.0, 0.077, 0.359, 0.0, 0.103, 0.0, 0.0, 0.0, 0.205, 0.0]	53.5	54.5	1.0	54	55	1
A- major	[0.14, 0.14, 0.0, 0.302, 0.0, 0.105, 0.0, 0.035, 0.233, 0.0, 0.047, 0.0]	54.5	57.5	3.0	55	58	3
C major	[0.412, 0.059, 0.0, 0.0, 0.235, 0.0, 0.0, 0.294, 0.0, 0.0, 0.0, 0.0]	57.5	61.5	4.0	58	62	4
b- minor	[0.159, 0.089, 0.022, 0.159, 0.0, 0.2, 0.089, 0.0, 0.0, 0.148, 0.089, 0.044]	61.5	64.5	3.0	62	65	3
e- minor	[0.0, 0.053, 0.069, 0.149, 0.048, 0.234, 0.0, 0.0, 0.319, 0.0, 0.096, 0.032]	64.5	66.5	2.0	65	67	2
E major	[0.0, 0.0, 0.0, 0.133, 0.067, 0.067, 0.267, 0.0, 0.0, 0.267, 0.0, 0.2]	66.5	67.5	1.0	67	68	1
C# major	[0.135, 0.108, 0.0, 0.108, 0.135, 0.054, 0.095, 0.041, 0.284, 0.027, 0.014, 0.0]	67.5	70.0	2.5	68	70	2
B major	[0.102, 0.118, 0.011, 0.036, 0.156, 0.013, 0.087, 0.223, 0.01, 0.038, 0.057, 0.148]	70.0	88.5	18.5	70	89	19
G major	[0.074, 0.046, 0.194, 0.009, 0.06, 0.0, 0.042, 0.366, 0.0, 0.055, 0.018, 0.135]	88.5	96.5	8.0	89	97	8
b minor	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.732, 0.122, 0.0, 0.0, 0.049, 0.098]	96.5	98.0	1.5	97	98	1
B major	[0.04, 0.02, 0.0, 0.081, 0.061, 0.0, 0.485, 0.101, 0.051, 0.02, 0.0, 0.141]	98.0	102.5	4.5	98	103	5
G major	[0.159, 0.028, 0.242, 0.041, 0.179, 0.021, 0.103, 0.021, 0.021, 0.076, 0.035, 0.075]	102.5	107.0	4.5	103	107	4
C major	[0.139, 0.03, 0.066, 0.014, 0.193, 0.145, 0.017, 0.142, 0.063, 0.068, 0.049, 0.074]	107.0	114.5	7.5	107	115	8
G major	[0.115, 0.051, 0.118, 0.037, 0.097, 0.021, 0.13, 0.223, 0.0, 0.103, 0.026, 0.081]	114.5	141.5	27.0	115	141	26
