mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	D.I{	D	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	4/4	2	1	viio6	D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
2	2	0	0	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	4/4	2	1	ii7	D	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
3	3	3/4	3/4	4/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	4/4	2	1	I}{	D	I		I		I						}{	M	0	0	0, 4, 1		0	0
4	4	3/4	3/4	4/4	2	1	viio6	D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	0	0	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	1/2	1/2	4/4	2	1	ii7	D	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	3/4	3/4	4/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	4/4	2	1	I}{	D	I		I		I						}{	M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	2	1	V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	0	0	4/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	3/4	3/4	4/4	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	0	0	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	0	0	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
11	11	5/8	5/8	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	4/4	2	1	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	7/8	7/8	4/4	2	1	viio/V	D	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
13	13	0	0	4/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
13	13	1/8	1/8	4/4	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	13	1/4	1/4	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	3/8	3/8	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	4/4	2	1	V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	13	5/8	5/8	4/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	3/4	3/4	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
13	13	7/8	7/8	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	0	0	4/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
14	14	1/8	1/8	4/4	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	1/4	1/4	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	3/8	3/8	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
14	14	1/2	1/2	4/4	2	1	V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	14	5/8	5/8	4/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	3/4	3/4	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
14	14	7/8	7/8	4/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	4/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
15	15	1/4	1/4	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
15	15	1/2	1/2	4/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
15	15	3/4	3/4	4/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	16	0	0	4/4	2	1	V}	D	I		V		V						}	M	0	0	1, 5, 2		1	1
16	16	3/4	3/4	4/4	2	1	V.I6{	D	V		I6		I		6				{	M	0	0	4, 1, 0		0	4
17	17	0	0	4/4	2	1	I	D	V		I		I							M	0	0	0, 4, 1		0	0
17	17	1/4	1/4	4/4	2	1	V43	D	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	1/2	1/2	4/4	2	1	I6	D	V		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	3/4	3/4	4/4	2	1	I	D	V		I		I							M	0	0	0, 4, 1		0	0
18	18	0	0	4/4	2	1	ii	D	V		ii		ii							m	0	0	2, -1, 3		2	2
18	18	1/2	1/2	4/4	2	1	V65	D	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	3/4	3/4	4/4	2	1	V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1	I6	D	V		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	1/4	1/4	4/4	2	1	V6	D	V		V6		V		6					M	0	0	5, 2, 1		1	5
19	19	1/2	1/2	4/4	2	1	I	D	V		I		I							M	0	0	0, 4, 1		0	0
19	19	3/4	3/4	4/4	2	1	IV6	D	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
20	20	0	0	4/4	2	1	V(64)}	D	V		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
20	20	1/2	1/2	4/4	2	1	V	D	V		V		V							M	0	0	1, 5, 2		1	1
20	20	5/8	5/8	4/4	2	1	{	D	V										{		0	0				
