COMPOSER,COLLECTION (where applicable),SONG,HUMAN ANALYSIS
"Chaminade, Cécile", ,Amoroso,YES
"Chaminade, Cécile", ,Amour d'automne
"Chaminade, Cécile", ,Auprès de ma mie
"Chaminade, Cécile", ,Colette
"Chaminade, Cécile", ,Fleur jetée
"Chaminade, Cécile", ,L' Idéal
"Chaminade, Cécile", ,L'absente
"Chaminade, Cécile", ,La Fiancée du soldat
"Chaminade, Cécile", ,Les Rêves
"Chaminade, Cécile", ,Madrigal
"Chaminade, Cécile", ,Plaintes d'amour
"Chaminade, Cécile", ,Ritournelle
"Chaminade, Cécile", ,Rosemonde
"Chaminade, Cécile", ,Rêve d'un soir
"Chaminade, Cécile", ,Souhait
"Chaminade, Cécile", ,Sur la plage
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",1 - Nach Süden,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",2 - Vorwurf,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",3 - Abendbild
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",4 - Im Herbste
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",5 - Bergeslust
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",1 - Schwanenlied
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",2 - Wanderlied
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",3 - Warum sind denn die Rosen so blass
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",4 - Mayenlied
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",5 - Morgenständchen
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",6 - Gondellied,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",1 - Die Ersehnte
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",2 - Ferne
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",3 - Der Rosenkranz
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",4 - Die frühen Gräber
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",5 - Der Maiabend
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",6 - Die Mainacht,YES
"Holmès, Augusta Mary Anne",20 Mélodies,01 - Chanson lointaine
"Holmès, Augusta Mary Anne",20 Mélodies,02 - Aubade-Habanera
"Holmès, Augusta Mary Anne",20 Mélodies,03 - La barque des amours
"Holmès, Augusta Mary Anne",20 Mélodies,04 - En chemin
"Holmès, Augusta Mary Anne",20 Mélodies,05 - C'est un oiseau du bois sauvage
"Holmès, Augusta Mary Anne",20 Mélodies,06 - Chanson persane
"Holmès, Augusta Mary Anne",20 Mélodies,07 - Noël d'Irlande
"Holmès, Augusta Mary Anne",20 Mélodies,08 - L'éternelle idole
"Holmès, Augusta Mary Anne",20 Mélodies,09 - Garci Perez
"Holmès, Augusta Mary Anne",20 Mélodies,10 - Hymne à Vénus
"Holmès, Augusta Mary Anne",Contes divins,4 - La Belle Madeleine
"Holmès, Augusta Mary Anne",Les Heures,2 - L'Heure d'Or
"Holmès, Augusta Mary Anne",Les Heures,3 - L'Heure de Pourpre
"Holmès, Augusta Mary Anne",Les Heures,4 - L'Heure d'Azur,YES
"Holmès, Augusta Mary Anne",Les Sept Ivresses,1 - L'Amour
"Holmès, Augusta Mary Anne",Les Sept Ivresses,2 - Le Vin
"Holmès, Augusta Mary Anne",Les Sept Ivresses,3 - La Gloire
"Holmès, Augusta Mary Anne",Les Sept Ivresses,4 - La Haine
"Holmès, Augusta Mary Anne",Les Sept Ivresses,5 - Le Rêve
"Holmès, Augusta Mary Anne",Les Sept Ivresses,6 - Le Désir
"Holmès, Augusta Mary Anne",Les Sept Ivresses,7 - L'Or
"Holmès, Augusta Mary Anne",Les Sérénades,1 - Sérénade printanière
"Holmès, Augusta Mary Anne",Les Sérénades,2 - Sérénade d'été
"Holmès, Augusta Mary Anne",Les Sérénades,3 - Sérénade d'automne
"Holmès, Augusta Mary Anne",Les Sérénades,4 - Sérénade d'hiver
"Holmès, Augusta Mary Anne",Les Sérénades,5 - Sérénade de toujours
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,01 - Noël
"Holmès, Augusta Mary Anne", ,Charme-du-jour
"Holmès, Augusta Mary Anne", ,Ogier le Danois
"Holmès, Augusta Mary Anne", ,À Trianon
"Jaëll, Marie",4 Mélodies,1 - À toi
"Jaëll, Marie",4 Mélodies,2 - Éternel amour
"Lang, Josephine","Sechs Lieder, Op.10",5 - Scheideblick
"Lang, Josephine","Sechs Lieder, Op.25",1 - Frühlings-Glaube
"Lang, Josephine","Sechs Lieder, Op.25",2 - Winterseufzer
"Lang, Josephine","Sechs Lieder, Op.25",3 - Barcarole
"Lang, Josephine","Sechs Lieder, Op.25",4 - Lied (Immer sich rein kindlich erfreu'n),YES
"Lang, Josephine","Sechs Lieder, Op.25",5 - Die Wolken
"Lang, Josephine","Sechs Lieder, Op.25",6 - Das Paradies
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",1 - Sehnsucht nach dem Vaterlande
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",2 - Frühlingslied
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",3a - Geistliches Lied
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",3b - Geistliches Lied (4-part)
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",4 - Bergmannslied
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",5 - Noch ein Bergmannslied,YES
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4","6 - Er besucht den Klostergarten und den Kirchoff, über den letztern findet sich folgendes Gedicht"
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,01 - Frühlingslied
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,02 - Wenn ich ihn nur habe
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,03 - Durch die bunten Rosenhecken
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,04 - Wohl dem Mann
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,05 - Poesia di Metastasio (I)
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,06 - Notturno
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,07 - Poesia di Metastasio (II)
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,08 - Poesie von Tieck
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,09 - Aus Ariels Offenbarungen
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,10 - Ida (aus Ariels Offenbarungen),YES
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,11 - Aus Tiecks Genoveva
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,12 - Heymdal (aus Ariels Offenbarungen)
"Reichardt, Louise",Zwölf Gesänge,01 - Erinnrung zum Bach
"Reichardt, Louise",Zwölf Gesänge,02 - Der Sänger geht
"Reichardt, Louise",Zwölf Gesänge,03 - Nach Sevilla
