COMPOSER,COLLECTION (where applicable),SONG,HUMAN ANALYSIS
"Schumann, Clara","6 Lieder, Op.13",5 - Ich hab’ in Deinem Auge,N
"Schumann, Clara","6 Lieder, Op.13",6 - Die stille Lotosblume,YES
"Schumann, Clara","6 Lieder, Op.23","1 - Was weinst du, Blümlein",N
"Schumann, Clara","6 Lieder, Op.23",2 - An einem lichten Morgen,N
"Schumann, Clara","6 Lieder, Op.23",3 - Geheimes Flüstern hier und dort,N
"Schumann, Clara","6 Lieder, Op.23",4 - Auf einem grünen Hügel,YES
"Schumann, Clara","6 Lieder, Op.23","5 - Das ist ein Tag, der klingen mag",N
"Schumann, Clara","6 Lieder, Op.23","6 - O Lust, o Lust",N
"Schumann, Clara","Lieder, Op.12",02 - Er ist gekommen in Sturm und Regen,N
"Schumann, Clara","Lieder, Op.12",04 - Liebst du um Schönheit,YES
"Schumann, Clara","Lieder, Op.12",11 - Warum willst du And're fragen,N
"Schumann, Clara", ,Die gute Nacht,YES
"Schumann, Clara", ,Lorelei,N
"Schumann, Robert","Dichterliebe, Op.48",01 - Im wunderschönen Monat Mai,YES
"Schumann, Robert","Dichterliebe, Op.48",02 - Aus meinen Tränen sprießen,YES
"Schumann, Robert","Dichterliebe, Op.48","03 - Die Rose, die Lilie",YES
"Schumann, Robert","Dichterliebe, Op.48",04 - Wenn ich in deine Augen seh',YES
"Schumann, Robert","Dichterliebe, Op.48",05 - Ich will meine Seele tauchen,YES
"Schumann, Robert","Dichterliebe, Op.48","06 - Im Rhein, im heiligen Strome",YES
"Schumann, Robert","Dichterliebe, Op.48",07 - Ich grolle nicht,YES
"Schumann, Robert","Dichterliebe, Op.48",08 - Und wüssten's die Blumen,YES
"Schumann, Robert","Dichterliebe, Op.48",09 - Das ist ein Flöten und Geigen,YES
"Schumann, Robert","Dichterliebe, Op.48",10 - Hör' ich das Liedchen klingen,YES
"Schumann, Robert","Dichterliebe, Op.48",11 - Ein Jüngling liebt ein Mädchen,YES
"Schumann, Robert","Dichterliebe, Op.48",12 - Am leuchtenden Sommermorgen,YES
"Schumann, Robert","Dichterliebe, Op.48",13 - Ich hab' im Traum geweinet,YES
"Schumann, Robert","Dichterliebe, Op.48",14 - Allnächtlich im Traume,YES
"Schumann, Robert","Dichterliebe, Op.48",15 - Aus alten Märchen winkt es,YES
"Schumann, Robert","Dichterliebe, Op.48","16 - Die alten, bösen Lieder",YES
"Schumann, Robert","Frauenliebe und Leben, Op.42",1 - Seit ich ihn gesehen,YES
"Schumann, Robert","Frauenliebe und Leben, Op.42","2 - Er, der Herrlichste von allen",N
"Schumann, Robert","Frauenliebe und Leben, Op.42",3 - Ich kann's nicht fassen,YES
"Schumann, Robert","Frauenliebe und Leben, Op.42",4 - Du Ring an meinem Finger,N
"Schumann, Robert","Frauenliebe und Leben, Op.42","5 - Helft mir, ihr Schwestern",N
"Schumann, Robert","Frauenliebe und Leben, Op.42","6 - Süsser Freund, du blickest",N
"Schumann, Robert","Frauenliebe und Leben, Op.42",7 - An meinem Herzen,N
"Schumann, Robert","Frauenliebe und Leben, Op.42",8 - Nun hast du mir den ersten Schmerz getan,N
"Schumann, Robert","Liederkreis, Op.39",01 - In der Fremde [I],N
"Schumann, Robert","Liederkreis, Op.39",02 - Intermezzo,N
"Schumann, Robert","Liederkreis, Op.39",03 - Waldesgespräch,N
"Schumann, Robert","Liederkreis, Op.39",04 - Die Stille,N
"Schumann, Robert","Liederkreis, Op.39",05 - Mondnacht,N
"Schumann, Robert","Liederkreis, Op.39",06 - Schöne Fremde,N
"Schumann, Robert","Liederkreis, Op.39",07 - Auf einer Burg,N
"Schumann, Robert","Liederkreis, Op.39",08 - In der Fremde [II],N
"Schumann, Robert","Liederkreis, Op.39",09 - Wehmuth,N
"Schumann, Robert","Liederkreis, Op.39",10 - Zwielicht,N
"Schumann, Robert","Liederkreis, Op.39",11 - Im Walde,N
"Schumann, Robert","Liederkreis, Op.39",12 - Frühlingsnacht,N
"Wagner, Richard","5 Gedichte für eine Frauenstimme (Wesendonck-Lieder), WWV 91",1 - Der Engel,N
"Wagner, Richard","5 Gedichte für eine Frauenstimme (Wesendonck-Lieder), WWV 91",2 - Stehe still!,N
"Wagner, Richard","5 Gedichte für eine Frauenstimme (Wesendonck-Lieder), WWV 91",3 - Im Treibhaus,N
"Wagner, Richard","5 Gedichte für eine Frauenstimme (Wesendonck-Lieder), WWV 91",4 - Schmerzen,N
"Wagner, Richard","5 Gedichte für eine Frauenstimme (Wesendonck-Lieder), WWV 91",5 - Träume,N
"Wolf, Hugo",Eichendorff-Lieder,01 - Der Freund,N
"Wolf, Hugo",Eichendorff-Lieder,02 - Der Musikant,N
"Wolf, Hugo",Eichendorff-Lieder,03 - Verschwiegene Liebe,N
"Wolf, Hugo",Eichendorff-Lieder,04 - Das Ständchen,N
"Wolf, Hugo",Eichendorff-Lieder,05 - Der Soldat I,N
"Wolf, Hugo",Eichendorff-Lieder,06 - Der Soldat II,N
"Wolf, Hugo",Eichendorff-Lieder,07 - Die Zigeunerin,N
"Wolf, Hugo",Eichendorff-Lieder,08 - Nachtzauber,YES
"Wolf, Hugo",Eichendorff-Lieder,09 - Der Schreckenberger,N
"Wolf, Hugo",Eichendorff-Lieder,10 - Der Glücksritter,N
"Wolf, Hugo",Eichendorff-Lieder,11 - Lieber Alles,N
"Wolf, Hugo",Eichendorff-Lieder,12 - Heimweh,N
"Wolf, Hugo",Eichendorff-Lieder,13 - Der Scholar,YES
"Wolf, Hugo",Eichendorff-Lieder,14 - Der verzweifelte Liebhaber,YES
"Wolf, Hugo",Eichendorff-Lieder,15 - Unfall,YES
"Wolf, Hugo",Eichendorff-Lieder,16 - Liebesglück,N
"Wolf, Hugo",Eichendorff-Lieder,17 - Seemans Abschied,N
"Wolf, Hugo",Eichendorff-Lieder,18 - Erwartung,N
"Wolf, Hugo",Eichendorff-Lieder,19 - Die Nacht,YES
"Wolf, Hugo",Eichendorff-Lieder,20 - Waldmädchen,YES
"Wolf, Hugo",Goethe-Lieder,40 - Hoch beglückt in deiner Liebe,N
"Wolf, Hugo",Mörike-Lieder,09 - Nimmersatte Liebe,N
