COMPOSER,COLLECTION (where applicable),SONG,HUMAN ANALYSIS
"Brahms, Johannes","5 Poems, Op.19",4 - Der Schmied,N
"Brahms, Johannes","5 Poems, Op.19",5 - An eine Äolsharfe,N
"Brahms, Johannes","6 Songs, Op.3",1 - Liebestreu,N
"Brahms, Johannes","6 Songs, Op.3",2 - Liebe und Frühling I,N
"Brahms, Johannes","6 Songs, Op.3",3 - Liebe und Frühling II,YES
"Brahms, Johannes","6 Songs, Op.3",4 - Lied aus dem Gedicht 'Ivan',N
"Brahms, Johannes","6 Songs, Op.3",5 - In der Fremde,N
"Brahms, Johannes","6 Songs, Op.3",6 - Lied,N
"Brahms, Johannes","6 Songs, Op.6",1 - Spanisches Lied,N
"Brahms, Johannes","6 Songs, Op.6",2 - Der Frühling,N
"Brahms, Johannes","6 Songs, Op.6",3 - Nachwirkung,N
"Brahms, Johannes","6 Songs, Op.6",4 - Juchhe!,N
"Brahms, Johannes","6 Songs, Op.6",5 - Wie die Wolke nach der Sonne,N
"Brahms, Johannes","6 Songs, Op.6",6 - Nachtigallen schwingen lustig,N
"Brahms, Johannes","6 Songs, Op.7",1 - Treue Liebe,N
"Brahms, Johannes","6 Songs, Op.7",2 - Parole,N
"Brahms, Johannes","6 Songs, Op.7",3 - Anklänge,N
"Brahms, Johannes","6 Songs, Op.7",4 - Volkslied,N
"Brahms, Johannes","6 Songs, Op.7",5 - Die Trauernde,N
"Brahms, Johannes","6 Songs, Op.7",6 - Heimkehr,N
"Brahms, Johannes","7 Lieder, Op.48",1 - Der Gang zum Liebchen,N
"Brahms, Johannes","7 Lieder, Op.48",2 - Der Überläufer,N
"Brahms, Johannes","7 Lieder, Op.48",3 - Liebesklage des Mädchens,YES
"Brahms, Johannes","7 Lieder, Op.48",4 - Gold überwiegt die Liebe,N
"Brahms, Johannes","7 Lieder, Op.48",5 - Trost in Tränen,N
"Brahms, Johannes","7 Lieder, Op.48",6 - Vergangen ist mir Glück und Heil,N
"Brahms, Johannes","7 Lieder, Op.48",7 - Herbstgefühl,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",1 - Vor dem Fenster,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",2 - Vom verwundeten Knaben,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",3 - Murrays Ermordung,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",4 - Ein Sonett,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",5 - Trennung,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",6 - Gang zur Liebsten,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",7 - Ständchen,N
"Brahms, Johannes","8 Lieder and Romances, Op.14",8 - Sehnsucht,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",1 - Von waldbekränzter Höhe,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",2 - Wenn du nur zuweilen lächelst,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",3 - Es träumte mir,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57","4 - Ach, wende diesen Blick",N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",5 - In meiner Nächte Sehnen,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",6 - Strahlt zuweilen auch ein mildes Licht,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.57","7 - Die Schnur, die Perl an Perle",N
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",1 - Blinde Kuh,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",2 - Während des Regens,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",3 - Die Spröde,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",1 - Dämmrung senkte sich von oben,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",4 - Nachklang,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",5 - Agnes,N
"Brahms, Johannes","8 Lieder und Gesänge, Op.59","6 - Eine gute, gute Nacht",N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",1 - Wie rafft ich mich auf in der Nacht,N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",2 - Nicht mehr zu dir zu gehen,N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",3 - Ich schleich umher betrübt,N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","4 - Der Strom, der neben mir verrauschte",N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","5 - Wehe, so willst du mich wieder",N
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",7 - Bitteres zu sagen denkst du,N
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",4 - An die Tauben,N
"Chabrier, Emmanuel", ,Villanelle des petits canards,N
"Chaminade, Cécile", ,Amoroso,YES
"Chaminade, Cécile", ,Amour d'automne,N
"Chaminade, Cécile", ,Auprès de ma mie,N
"Chaminade, Cécile", ,Colette,N
"Chaminade, Cécile", ,Fleur jetée,N
"Chaminade, Cécile", ,L' Idéal,N
"Chaminade, Cécile", ,L'absente,N
"Chaminade, Cécile", ,La Fiancée du soldat,N
"Chaminade, Cécile", ,Les Rêves,N
"Chaminade, Cécile", ,Madrigal,N
"Chaminade, Cécile", ,Plaintes d'amour,N
"Chaminade, Cécile", ,Ritournelle,N
"Chaminade, Cécile", ,Rosemonde,N
"Chaminade, Cécile", ,Rêve d'un soir,N
"Chaminade, Cécile", ,Souhait,N
"Chaminade, Cécile", ,Sur la plage,N
"Chausson, Ernest","7 Mélodies, Op.2",1 - Nanny,N
"Chausson, Ernest","7 Mélodies, Op.2",2 - Le Charme,N
"Chausson, Ernest","7 Mélodies, Op.2",3 - Les Papillons,N
"Chausson, Ernest","7 Mélodies, Op.2",4 - La dernière feuille,N
"Chausson, Ernest","7 Mélodies, Op.2",5 - Sérénade italienne,N
"Chausson, Ernest","7 Mélodies, Op.2",6 - Hébé,N
"Chausson, Ernest","7 Mélodies, Op.2",7 - Le Colibri,YES
"Cornelius, Peter","6 Lieder, Op.1",1 - Untreu,N
"Cornelius, Peter","6 Lieder, Op.1",2 - Veilchen,N
"Cornelius, Peter","6 Lieder, Op.1",3 - Wiegenlied,N
"Cornelius, Peter","6 Lieder, Op.1",4 - Schmetterling,N
"Cornelius, Peter","6 Lieder, Op.1",5 - Nachts,N
"Cornelius, Peter","6 Lieder, Op.1",6 - Denkst du an mich,N
"Cornelius, Peter","An Bertha, Op.15",1 - Sei mein!,N
"Cornelius, Peter","An Bertha, Op.15",2 - Wie lieb ich dich hab',N
"Cornelius, Peter","An Bertha, Op.15",3 - In der Ferne,N
"Cornelius, Peter","An Bertha, Op.15",4 - Dein Bildnis,N
"Cornelius, Peter","Liebeslieder, Op.4","2 - Komm, wir wandeln zusammen",N
"Debussy, Claude",Ariettes Oubliées,1 - C'est l'extase langoureuse,N
"Debussy, Claude",Ariettes Oubliées,2 - Il pleure dans mon coeur,N
"Debussy, Claude",Ariettes Oubliées,3 - L'ombre des arbres,N
"Debussy, Claude",Ariettes Oubliées,4 - Paysages belges. Chevaux de bois,N
"Debussy, Claude",Ariettes Oubliées,5 - Aquarelles I. Green,N
"Debussy, Claude",Ariettes Oubliées,6 - Aquarelles II. Spleen,N
"Debussy, Claude",Cinq Poëmes de Baudelaire,1 - Le Balcon,N
"Debussy, Claude",Cinq Poëmes de Baudelaire,2 - Harmonie du Soir,N
"Debussy, Claude",Cinq Poëmes de Baudelaire,3 - Le Jet d'Eau,N
"Debussy, Claude",Cinq Poëmes de Baudelaire,4 - Recueillement,N
"Debussy, Claude",Cinq Poëmes de Baudelaire,5 - La Mort des Amants,N
"Debussy, Claude",Trois Chansons de Bilitis,1 - La flûte de Pan,N
"Debussy, Claude",Trois Chansons de Bilitis,2 - La Chevelure,N
"Debussy, Claude",Trois Chansons de Bilitis,3 - Le Tombeau des Naïades,N
"Fauré, Gabriel","Cinq Mélodies, Op.58",1 - Mandoline,N
"Fauré, Gabriel","Cinq Mélodies, Op.58",2 - En sourdine,N
"Fauré, Gabriel","Cinq Mélodies, Op.58",3 - Green,N
"Fauré, Gabriel","Cinq Mélodies, Op.58",4 - A Clymène,N
"Fauré, Gabriel","Cinq Mélodies, Op.58",5 - C'est l'extase,N
"Franz, Robert","12 Gesänge, Op.1",01 - Ihr Auge,N
"Franz, Robert","12 Gesänge, Op.1",02 - Nachtlied,N
"Franz, Robert","12 Gesänge, Op.1",03 - Die Lotosblume,N
"Franz, Robert","12 Gesänge, Op.1",04 - Nun holt mir eine Kanne Wein,N
"Franz, Robert","12 Gesänge, Op.1",05 - O säh ich auf der Haide dort,N
"Franz, Robert","12 Gesänge, Op.1",06 - Tanzlied im Mai,N
"Franz, Robert","12 Gesänge, Op.1",07 - Sonntag,N
"Franz, Robert","12 Gesänge, Op.1",08 - Für Einen,N
"Franz, Robert","12 Gesänge, Op.1",09 - Jagdlied,N
"Franz, Robert","12 Gesänge, Op.1","11 - Vöglein, wohin so schnell",N
"Franz, Robert","12 Gesänge, Op.1",12 - In meinem Garten die Nelken,N
"Franz, Robert","6 Gesänge, Op.14",1 - Widmung,N
"Franz, Robert","6 Gesänge, Op.14",2 - Lenz,N
"Franz, Robert","6 Gesänge, Op.14",3 - Waldfahrt,N
"Franz, Robert","6 Gesänge, Op.14",4 - Volkslied,N
"Franz, Robert","6 Gesänge, Op.14",5 - Liebesfrühling,YES
"Franz, Robert","6 Gesänge, Op.14",6 - Frage nicht,N
"Franz, Robert","6 Gesänge, Op.16",1 - Du liebes Auge,N
"Franz, Robert","6 Gesänge, Op.26","2 - Lieber Schatz, sei wieder gut",N
"Franz, Robert","6 Gesänge, Op.6",1 - Wasserfahrt,N
"Franz, Robert","6 Gesänge, Op.6",2 - Wie des Mondes Abbild,N
"Franz, Robert","6 Gesänge, Op.6",3 - Auf dem Meere,N
"Franz, Robert","6 Gesänge, Op.6",4 - Die Liebe hat gelogen!,N
"Franz, Robert","6 Gesänge, Op.6",5 - Der Schnee ist zergangen,N
"Franz, Robert","6 Gesänge, Op.6",6 - Tränen,N
"Gounod, Charles",6 Mélodies,1 - Le Premier Jour de Mai,N
"Gounod, Charles",6 Mélodies,2 - O Ma Belle Rebelle!,N
"Gounod, Charles",6 Mélodies,3 - Aubade,N
"Gounod, Charles",6 Mélodies,4 - Chant d'automne,N
"Gounod, Charles",6 Mélodies,5 - Le lever,N
"Gounod, Charles",6 Mélodies,6 - Venise,N
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",1 - Nach Süden,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",2 - Vorwurf,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",3 - Abendbild,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",4 - Im Herbste,YES
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",5 - Bergeslust,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",1 - Schwanenlied,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",2 - Wanderlied,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",3 - Warum sind denn die Rosen so blass,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",4 - Mayenlied,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",5 - Morgenständchen,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",6 - Gondellied,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",1 - Die Ersehnte,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",2 - Ferne,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",3 - Der Rosenkranz,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",4 - Die frühen Gräber,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",5 - Der Maiabend,YES
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",6 - Die Mainacht,YES
"Holmès, Augusta Mary Anne",20 Mélodies,01 - Chanson lointaine,N
"Holmès, Augusta Mary Anne",20 Mélodies,02 - Aubade-Habanera,N
"Holmès, Augusta Mary Anne",20 Mélodies,03 - La barque des amours,N
"Holmès, Augusta Mary Anne",20 Mélodies,04 - En chemin,N
