key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a minor	[0.108, 0.004, 0.118, 0.024, 0.147, 0.166, 0.03, 0.017, 0.086, 0.153, 0.055, 0.092]	0.0	28.0	28.0	1	8	7
F major	[0.192, 0.0, 0.0, 0.0, 0.077, 0.231, 0.0, 0.308, 0.0, 0.0, 0.192, 0.0]	28.0	30.0	2.0	8	8	0
d minor	[0.0, 0.286, 0.0, 0.0, 0.214, 0.071, 0.0, 0.071, 0.0, 0.357, 0.0, 0.0]	30.0	32.0	2.0	8	9	1
a minor	[0.161, 0.0, 0.105, 0.011, 0.152, 0.124, 0.012, 0.011, 0.047, 0.235, 0.046, 0.096]	32.0	64.0	2.0	9	17	8
C major	[0.155, 0.021, 0.183, 0.028, 0.134, 0.07, 0.028, 0.204, 0.0, 0.106, 0.014, 0.056]	64.0	73.0	2.0	17	19	2
e minor	[0.0, 0.0, 0.0, 0.2, 0.0, 0.1, 0.1, 0.0, 0.0, 0.2, 0.0, 0.4]	73.0	74.0	1.0	19	19	0
f minor	[0.353, 0.0, 0.0, 0.0, 0.235, 0.0, 0.0, 0.235, 0.059, 0.059, 0.059, 0.0]	74.0	76.0	1.0	19	20	1
g minor	[0.167, 0.0, 0.222, 0.111, 0.0, 0.0, 0.111, 0.111, 0.0, 0.167, 0.056, 0.056]	76.0	78.0	1.0	20	20	0
c minor	[0.1, 0.0, 0.2, 0.0, 0.0, 0.3, 0.0, 0.25, 0.05, 0.05, 0.0, 0.05]	78.0	80.0	1.0	20	21	1
C major	[0.122, 0.031, 0.206, 0.0, 0.137, 0.122, 0.015, 0.153, 0.0, 0.198, 0.0, 0.015]	80.0	88.0	2.0	21	23	2
E major	[0.0, 0.015, 0.03, 0.09, 0.134, 0.0, 0.104, 0.0, 0.119, 0.104, 0.0, 0.403]	88.0	96.0	1.0	23	25	2
a minor	[0.114, 0.0, 0.13, 0.033, 0.158, 0.158, 0.043, 0.0, 0.022, 0.168, 0.038, 0.136]	96.0	108.0	1.0	25	28	3
F major	[0.233, 0.0, 0.0, 0.0, 0.067, 0.2, 0.0, 0.267, 0.0, 0.0, 0.233, 0.0]	108.0	110.0	2.0	28	28	0
d minor	[0.0, 0.182, 0.136, 0.0, 0.273, 0.091, 0.0, 0.045, 0.0, 0.273, 0.0, 0.0]	110.0	113.0	2.0	28	29	1
a minor	[0.13, 0.019, 0.065, 0.01, 0.17, 0.14, 0.008, 0.0, 0.119, 0.184, 0.017, 0.137]	113.0	144.0	1.0	29	37	8
d minor	[0.0, 0.062, 0.062, 0.062, 0.312, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]	144.0	146.0	2.0	37	37	0
B- major	[0.109, 0.0, 0.065, 0.261, 0.0, 0.174, 0.043, 0.087, 0.043, 0.174, 0.0, 0.043]	146.0	151.0	2.0	37	38	1
C major	[0.28, 0.0, 0.03, 0.03, 0.2, 0.06, 0.0, 0.24, 0.0, 0.08, 0.02, 0.06]	151.0	157.0	1.0	38	40	2
a minor	[0.094, 0.061, 0.088, 0.003, 0.228, 0.111, 0.003, 0.0, 0.084, 0.206, 0.008, 0.113]	157.0	204.0	1.0	40	51	11
