key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.045, 0.088, 0.0, 0.067, 0.0, 0.299, 0.047, 0.011, 0.0, 0.078, 0.365]	0.0	15.5	15.5	1	11	10
D major	[0.0, 0.137, 0.29, 0.0, 0.089, 0.0, 0.194, 0.065, 0.0, 0.226, 0.0, 0.0]	15.5	18.0	2.5	11	13	2
b minor	[0.0, 0.053, 0.196, 0.0, 0.045, 0.0, 0.27, 0.032, 0.003, 0.002, 0.073, 0.327]	18.0	33.5	15.5	13	23	10
D major	[0.0, 0.137, 0.29, 0.0, 0.089, 0.0, 0.194, 0.065, 0.0, 0.226, 0.0, 0.0]	33.5	36.0	2.5	23	25	2
b minor	[0.0, 0.075, 0.234, 0.0, 0.043, 0.0, 0.271, 0.0, 0.0, 0.0, 0.063, 0.314]	36.0	42.0	6.0	25	29	4
e minor	[0.068, 0.061, 0.0, 0.119, 0.061, 0.0, 0.153, 0.116, 0.0, 0.007, 0.055, 0.361]	42.0	47.5	5.5	29	32	3
C major	[0.247, 0.0, 0.066, 0.0, 0.187, 0.05, 0.0, 0.384, 0.0, 0.0, 0.0, 0.067]	47.5	51.0	3.5	32	35	3
b minor	[0.0, 0.082, 0.227, 0.0, 0.037, 0.0, 0.29, 0.0, 0.0, 0.0, 0.073, 0.291]	51.0	53.5	2.5	35	36	1
C major	[0.247, 0.0, 0.066, 0.0, 0.187, 0.028, 0.022, 0.384, 0.0, 0.0, 0.0, 0.067]	53.5	57.0	3.5	36	39	3
b minor	[0.0, 0.073, 0.131, 0.0, 0.069, 0.0, 0.323, 0.022, 0.006, 0.0, 0.057, 0.319]	57.0	64.5	7.5	39	43	4
