mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1		.Eb.I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	1	1		V65/ii	Eb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
1	1	1/2	1/2	3/4	1	1		ii(+4)	Eb	I		ii(+4)		ii			+4				m	0	0	2, -1, 3	1	2	2
1	1	11/16	11/16	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	0	0	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	1/2	1/2	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	3/4	1	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	5/8	5/8	3/4	1	1		vii%7/V	Eb	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
4	4	0	0	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
4	4	1/4	1/4	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	1/4	1/4	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	1/2	1/2	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	3/4	1	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	1/4	1/4	3/4	1	1		#viio7/vi	Eb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	6	1/2	1/2	3/4	1	1		vi(6)	Eb	I		vi(6)		vi			6				m	0	0	3, 0, -1		3	3
6	6	5/8	5/8	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
7	7	0	0	3/4	1	1		ii6(9)	Eb	I		ii6(9)		ii		6	9				m	0	0	-1, 3, 2	4	2	-1
7	7	1/8	1/8	3/4	1	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	3/4	1	1		V6/ii	Eb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
7	7	1/2	1/2	3/4	1	1		ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	7	5/8	5/8	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	0	0	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	1/4	1/4	3/4	1	1		vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	8	1/2	1/2	3/4	1	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
9	9	0	0	3/4	1	1		I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
9	9	1/4	1/4	3/4	1	1		vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
9	9	1/2	1/2	3/4	1	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	0	0	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
10	10	1/8	1/8	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	1/4	1/4	3/4	1	1		vii%2	Eb	I		vii%2		vii	%	2					%7	0	0	3, 5, 2, -1		5	3
10	10	3/8	3/8	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	11/16	11/16	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
11	11	0	0	3/4	1	1		I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	3/4	1	1		V43(+6)	Eb	I		V43(+6)		V		43	+6				Mm7	0	0	2, -1, 1, 5	4	1	2
11	11	3/8	3/8	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	1/2	1/2	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	3/4	1	1		V7/vi	Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
12	12	1/4	1/4	3/4	1	1		V65/vi	Eb	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
12	12	1/2	1/2	3/4	1	1		vi.i	Eb	vi		i		i							m	0	1	0, -3, 1		0	0
13	13	0	0	3/4	1	1		ii%65(2)	Eb	vi		ii%65(2)		ii	%	65	2				%7	0	1	-1, -4, 0, -3		2	-1
13	13	1/8	1/8	3/4	1	1		ii%65	Eb	vi		ii%65		ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
13	13	1/4	1/4	3/4	1	1		V43/iv	Eb	vi		V43/iv		V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
14	14	0	0	3/4	1	1		iv6	Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
14	14	1/4	1/4	3/4	1	1		IV6	Eb	vi		IV6		IV		6					M	0	1	3, 0, -1		-1	3
14	14	1/2	1/2	3/4	1	1		.It6	Eb	vi		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
15	15	0	0	3/4	1	1		V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
15	15	1/4	1/4	3/4	1	1		iv7	Eb	vi		iv7		iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
16	16	0	0	3/4	1	1		V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
16	16	1/4	1/4	3/4	1	1		iv7	Eb	vi		iv7		iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
17	17	0	0	3/4	1	1		V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
17	17	1/4	1/4	3/4	1	1		V7	Eb	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
18	18	0	0	3/4	1	1		V/iv	Eb	vi		V/iv		V				iv			M	0	1	0, 4, 1		0	0
18	18	1/2	1/2	3/4	1	1		V7/iv	Eb	vi		V7/iv		V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
19	19	0	0	3/4	1	1		iv	Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
19	19	1/8	1/8	3/4	1	1		IV	Eb	vi		IV		IV							M	0	1	-1, 3, 0		-1	-1
19	19	1/2	1/2	3/4	1	1		I.V7/V	Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
20	20	0	0	3/4	1	1		V64	Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
20	20	1/4	1/4	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
20	20	1/2	1/2	3/4	1	1		V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
21	21	0	0	3/4	1	1		V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	1/4	1/4	3/4	1	1		V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	1/2	1/2	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	22	0	0	3/4	1	1		V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	22	1/2	1/2	3/4	1	1		viio6/V	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
22	22	5/8	5/8	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
23	23	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	1/4	1/4	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
23	23	1/2	1/2	3/4	1	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
24	24	0	0	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
24	24	1/4	1/4	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
24	24	1/2	1/2	3/4	1	1		V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	1/4	1/4	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
25	25	1/2	1/2	3/4	1	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	26	0	0	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	1/4	1/4	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
26	26	1/2	1/2	3/4	1	1		V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	27	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
27	27	1/2	1/2	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
28	28	0	0	3/4	1	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
29	29	0	0	3/4	1	1		viio/V	Eb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
29	29	1/4	1/4	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
29	29	1/2	1/2	3/4	1	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	30	0	0	3/4	1	1		I(9+74)	Eb	I		I(9+74)		I			9+74				M	0	0	0, -1, 1	2, 5	0	0
30	30	1/4	1/4	3/4	1	1		I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
30	30	1/2	1/2	3/4	1	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	0	0	3/4	1	1		I(9+74)	Eb	I		I(9+74)		I			9+74				M	0	0	0, -1, 1	2, 5	0	0
31	31	1/4	1/4	3/4	1	1		I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
31	31	1/2	1/2	3/4	1	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
32	32	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	1/4	1/4	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
32	32	1/2	1/2	3/4	1	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
33	33	0	0	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
33	33	1/4	1/4	3/4	1	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
33	33	1/2	1/2	3/4	1	1		V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
34	34	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
34	34	1/4	1/4	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
34	34	1/2	1/2	3/4	1	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
35	35	0	0	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
35	35	1/4	1/4	3/4	1	1		V65/V	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
35	35	1/2	1/2	3/4	1	1		V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	36	0	0	3/4	1	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
36	36	1/4	1/4	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
36	36	1/2	1/2	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
37	37	0	0	3/4	1	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
37	37	1/4	1/4	3/4	1	1		V7/vi	Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
37	37	1/2	1/2	3/4	1	1		vi(9+#74)	Eb	I		vi(9+#74)		vi			9+#74				m	0	0	3, 2, 4	5, 8	3	3
37	37	5/8	5/8	3/4	1	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
38	38	0	0	3/4	1	1		V65/V	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
38	38	1/4	1/4	3/4	1	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	38	1/2	1/2	3/4	1	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	0	3/4	1	1		I(9+74)	Eb	I		I(9+74)		I			9+74				M	0	0	0, -1, 1	2, 5	0	0
39	39	1/4	1/4	3/4	1	1		I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
39	39	1/2	1/2	3/4	1	1		V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
40	40	0	0	3/4	1	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
41	41	0	0	3/4	1	1		V2/IV	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
41	41	1/4	1/4	3/4	1	1		@none	Eb	I		@none		@none							m	0	0				
42	42	0	0	3/4	1	1		.bVI.I	Eb	bVI		I		I							M	0	0	0, 4, 1		0	0
43	43	0	0	3/4	1	1		ii65	Eb	bVI		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
44	44	0	0	3/4	1	1		V	Eb	bVI		V		V							M	0	0	1, 5, 2		1	1
45	45	0	0	3/4	1	1		V65/vi	Eb	bVI		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
45	45	1/2	1/2	3/4	1	1		vi	Eb	bVI		vi		vi							m	0	0	3, 0, 4		3	3
46	46	0	0	3/4	1	1		V6/vi	Eb	bVI		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
46	46	1/2	1/2	3/4	1	1		vi	Eb	bVI		vi		vi							m	0	0	3, 0, 4		3	3
47	47	0	0	3/4	1	1		iv.i	Eb	iv		i		i							m	0	1	0, -3, 1		0	0
47	47	1/8	1/8	3/4	1	1		i64	Eb	iv		i64		i		64					m	0	1	1, 0, -3		0	1
47	47	1/4	1/4	3/4	1	1		iv6	Eb	iv		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
48	48	0	0	3/4	1	1		V\\	Eb	iv		V		V						\\	M	0	1	1, 5, 2		1	1
