COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Corelli, Arcangelo",Op1No01,2,28-30,I-IV-ii6-V,F major
"Corelli, Arcangelo",Op1No01,3,13-14,V65/III-III[no3][add4]-i6-iv,D minor
"Corelli, Arcangelo",Op1No02,1,1-1,i-iv64-iiø2-V6,E minor
"Corelli, Arcangelo",Op1No02,1,5-5,i-iv64-iiø2-V6,B minor
"Corelli, Arcangelo",Op1No02,2,34-35,i-iv-iio6-V7,E minor
"Corelli, Arcangelo",Op1No02,4,76-79,V6-I6-vi6-ii6,G major
"Corelli, Arcangelo",Op1No03,1,15-16,I6-IV[add9]-ii6-V7,A major
"Corelli, Arcangelo",Op1No03,2,3-4,I6-IV-ii-V7,A major
"Corelli, Arcangelo",Op1No03,2,8-9,I-IV6-ii6-V,A major
"Corelli, Arcangelo",Op1No03,2,16-17,V7/V-V-iii6-vi,A major
"Corelli, Arcangelo",Op1No03,2,17-18,IV6-viio-V6-I,A major
"Corelli, Arcangelo",Op1No03,2,21-22,I-IV6-ii6-V,A major
"Corelli, Arcangelo",Op1No03,2,22-23,V7-I-vi6-ii,A major
"Corelli, Arcangelo",Op1No03,2,23-24,vi6-ii-viio6-iii,A major
"Corelli, Arcangelo",Op1No03,2,23-24,viio6-iii-I6-IV,A major
"Corelli, Arcangelo",Op1No03,2,24-25,I6-IV-ii6-V,A major
"Corelli, Arcangelo",Op1No03,2,26-27,IV-viio6-V-I,A major
"Corelli, Arcangelo",Op1No03,2,27-28,V-I-vi-ii6,A major
"Corelli, Arcangelo",Op1No03,2,33-34,I-IV6-ii6-V,A major
"Corelli, Arcangelo",Op1No03,2,43-44,V7-I-vi6-ii,A major
"Corelli, Arcangelo",Op1No03,2,44-45,vi6-ii-viio6-iii,A major
"Corelli, Arcangelo",Op1No03,2,47-48,IV-viio6-V-I,A major
"Corelli, Arcangelo",Op1No03,2,48-49,V-I-vi-ii6,A major
"Corelli, Arcangelo",Op1No03,3,12-14,I-IV-ii6-V,A major
"Corelli, Arcangelo",Op1No03,4,12-14,I6-IV-V6/V-V,A major
"Corelli, Arcangelo",Op1No03,4,57-59,I6-IV-ii-V7,A major
"Corelli, Arcangelo",Op1No03,4,62-64,iii6-vi-IV6-viio,A major
"Corelli, Arcangelo",Op1No04,1,13-15,i-iv-iio6-V,A minor
"Corelli, Arcangelo",Op1No04,1,16-17,V6/III-III-i6-iv,A minor
"Corelli, Arcangelo",Op1No04,1,17-18,i6-iv-iio6-V,A minor
"Corelli, Arcangelo",Op1No04,2,9-11,i-iv-iio6-V2,A minor
"Corelli, Arcangelo",Op1No04,3,7-8,i6-IV-ii6-V,A minor
"Corelli, Arcangelo",Op1No04,3,9-10,V-i-VI6-iio,A minor
"Corelli, Arcangelo",Op1No04,3,9-10,VI6-iio-V6/III-III,A minor
"Corelli, Arcangelo",Op1No04,3,10-11,V6/III-III-i6-iv,A minor
"Corelli, Arcangelo",Op1No04,3,10-11,i6-iv-iio6-v,A minor
"Corelli, Arcangelo",Op1No04,3,14-15,V6/iv-iv-ii65-V,A minor
"Corelli, Arcangelo",Op1No04,3,15-16,V6-i-IV6-viio,A minor-C major
"Corelli, Arcangelo",Op1No04,3,16-17,IV6-viio-V6-I,C major
"Corelli, Arcangelo",Op1No04,3,20-21,V-i-iio6-V,A minor-E minor
"Corelli, Arcangelo",Op1No04,3,23-24,V6/iv-iv-iio6-V,A minor
"Corelli, Arcangelo",Op1No04,4,31-32,i-iv-iio6-V2,A minor
"Corelli, Arcangelo",Op1No04,4,34-35,V6/iv-iv-iio6-V2,A minor
"Corelli, Arcangelo",Op1No05,1,33-35,V6/iv-iv-iio6-V[add9],G minor
"Corelli, Arcangelo",Op1No05,2,14-15,V-I-vi-ii65,Bb major
"Corelli, Arcangelo",Op1No05,2,26-26,i-iv6-iiø65-V,C minor
"Corelli, Arcangelo",Op1No05,4,13-15,V6/iv-IV[add9]-ii-V7,G minor
"Corelli, Arcangelo",Op1No05,4,44-45,V6/iv-IV[add9]-ii-V7,G minor
"Corelli, Arcangelo",Op1No05,4,47-48,V-i-IV6-viio,G minor-Bb major
"Corelli, Arcangelo",Op1No05,4,48-49,IV6-viio-V6-I,Bb major
"Corelli, Arcangelo",Op1No05,4,49-50,V6-I-vi6-ii,Bb major
"Corelli, Arcangelo",Op1No05,4,50-51,vi6-ii-viio6-iii,Bb major
"Corelli, Arcangelo",Op1No06,2,4-5,i-iv-iiø65-V,F# minor
"Corelli, Arcangelo",Op1No06,2,6-7,V-i-III-IVM65/III,F# minor-B minor
"Corelli, Arcangelo",Op1No06,2,27-28,I-IV[add9]-ii-V65,D major
"Corelli, Arcangelo",Op1No06,3,8-9,IVM65-viio-V65-I[add9],D major
"Corelli, Arcangelo",Op1No06,3,17-19,V6-i-iio6-V7,B minor-F# minor
"Corelli, Arcangelo",Op1No06,4,42-43,V-i6-VIM7-iiø7,F# minor
"Corelli, Arcangelo",Op1No07,1,17-18,V65/IV-IV-ii6-V,C major
"Corelli, Arcangelo",Op1No07,1,29-30,I-IV-ii65-V,C major
"Corelli, Arcangelo",Op1No07,1,30-31,I6-IV-V6/V-V,F major
"Corelli, Arcangelo",Op1No08,1,12-13,V6/iv-iv-V6/V-V,C minor
"Corelli, Arcangelo",Op1No08,2,17-18,V/iv-iv-iio6-V2,C minor
"Corelli, Arcangelo",Op1No08,2,19-20,V6/iv-iv-iio6-V2,C minor
"Corelli, Arcangelo",Op1No08,4,16-18,ii/III-V/III-iii/III-vi/III,C minor
"Corelli, Arcangelo",Op1No09,2,2-3,I6-IV[add9]-ii6-V7,G major
"Corelli, Arcangelo",Op1No09,2,13-14,I6-IV6-ii7-V,G major
"Corelli, Arcangelo",Op1No09,2,21-21,i6/vi-iv7/vi-IV6/IV-viio7/IV,G major
"Corelli, Arcangelo",Op1No09,2,30-30,I6/V-IV6/V-ii7/V-V/V,G major
"Corelli, Arcangelo",Op1No10,1,10-11,V6-i-iiø65-V7,C minor-G minor
"Corelli, Arcangelo",Op1No10,5,22-23,viio6-iii-I-IV,Bb major
"Corelli, Arcangelo",Op1No10,5,27-28,viio6-iii-I-IV,Bb major
"Corelli, Arcangelo",Op1No11,4,9-10,V-i-III+6-VI,A minor-D minor
"Corelli, Arcangelo",Op1No12,4,34-35,I-IV-ii-V,D major
"Corelli, Arcangelo",Op3No01,2,17-18,I6-IV-ii6-V,F major
"Corelli, Arcangelo",Op3No01,2,17-18,ii6-V-iii6-vi,F major
"Corelli, Arcangelo",Op3No01,2,30-31,I6-IV[add9]-ii6-V7,F major
"Corelli, Arcangelo",Op3No01,3,12-14,I-IV-ii6-V2,C major
"Corelli, Arcangelo",Op3No01,3,17-20,I6-IV-ii-V,F major
"Corelli, Arcangelo",Op3No01,3,49-51,I6-IV-ii6-V,F major
"Corelli, Arcangelo",Op3No01,3,50-52,ii6-V-iii6-vi,F major
"Corelli, Arcangelo",Op3No01,4,10-11,V-I-iii6-vi2,C major-F major
"Corelli, Arcangelo",Op3No01,4,26-26,V-i-IV6-viio,D minor-F major
"Corelli, Arcangelo",Op3No01,4,30-31,V-I-iii6-vi2,C major-F major
"Corelli, Arcangelo",Op3No01,4,31-32,I6-IV-V6/V-V,F major
"Corelli, Arcangelo",Op3No01,4,38-39,IVM65-viio-V-I,F major
"Corelli, Arcangelo",Op3No02,2,4-5,V-I6-vi7-ii,D major
"Corelli, Arcangelo",Op3No02,2,10-11,V7-I-vi6-ii,D major
"Corelli, Arcangelo",Op3No02,2,10-11,vi6-ii-viio6-vi,D major-A major
"Corelli, Arcangelo",Op3No02,2,12-13,V-I-vi6-vi,A major-D major
"Corelli, Arcangelo",Op3No02,2,13-14,vi6-vi-IV6-viio,A major-D major
"Corelli, Arcangelo",Op3No02,2,14-15,I-IV-ii6-V7,D major
"Corelli, Arcangelo",Op3No02,4,32-33,IV6/V-viio/V-V7/V-V,D major
"Corelli, Arcangelo",Op3No04,4,23-24,i6-iv[add9]-iiø65-V7,F# minor
"Corelli, Arcangelo",Op3No04,4,35-35,V-i6-vi65-iio,B minor
"Corelli, Arcangelo",Op3No05,2,1-2,V6-i-VI6-iio,D minor
"Corelli, Arcangelo",Op3No05,2,2-3,VI6-iio-VII6-III,D minor
"Corelli, Arcangelo",Op3No05,2,2-3,VII6-III-i6-IV[add9],D minor
"Corelli, Arcangelo",Op3No05,2,26-27,V-i-IV6-viio,D minor-F major
"Corelli, Arcangelo",Op3No05,2,26-27,IV6-viio-V6-I,F major
"Corelli, Arcangelo",Op3No05,2,27-28,V6-I-vi6-ii,F major
"Corelli, Arcangelo",Op3No05,2,27-28,vi6-ii-viio6-iii,F major
"Corelli, Arcangelo",Op3No05,2,28-29,viio6-iii-I6-IV,F major
"Corelli, Arcangelo",Op3No05,2,28-29,I6-IV-ii6-V,F major
"Corelli, Arcangelo",Op3No05,2,29-30,ii6-V-iii6-vi,F major
"Corelli, Arcangelo",Op3No05,2,29-30,iii6-vi-IV6-viio,F major
"Corelli, Arcangelo",Op3No05,2,30-31,IV6-viio-V6-I,F major
"Corelli, Arcangelo",Op3No05,4,25-26,V-i6-VIM7-iiø7,D minor
"Corelli, Arcangelo",Op3No06,1,3-4,I6-IV-ii6-V7,G major
"Corelli, Arcangelo",Op3No06,1,9-11,I6-IV-ii-V,G major
"Corelli, Arcangelo",Op3No06,1,11-12,I6-IV-ii6-V7,G major
"Corelli, Arcangelo",Op3No06,1,24-26,I6-IV-V6/V-V,G major
"Corelli, Arcangelo",Op3No06,1,25-27,V6/V-V-V6/vi-vi,G major
"Corelli, Arcangelo",Op3No06,1,26-28,V6/vi-vi-IV6-viio,G major
"Corelli, Arcangelo",Op3No06,1,27-29,IV6-viio-V6-I,G major
"Corelli, Arcangelo",Op3No06,3,17-18,ii6-V-iii6-vi,G major
"Corelli, Arcangelo",Op3No06,3,21-22,i6-iv-iio6-iii,E minor-G major
"Corelli, Arcangelo",Op3No06,3,22-23,iio6-iii-i6-IV,E minor-G major
"Corelli, Arcangelo",Op3No06,3,22-23,i6-IV-ii6-V,G major
"Corelli, Arcangelo",Op3No06,3,23-24,ii6-V-iii6-vi,G major
"Corelli, Arcangelo",Op3No06,3,28-29,IV6-viio6-V6-I6,G major
"Corelli, Arcangelo",Op3No06,3,29-30,V6-I6-vi6-ii6,G major
"Corelli, Arcangelo",Op3No06,3,29-30,vi6-ii6-viio6-iii6,G major
"Corelli, Arcangelo",Op3No06,3,30-31,viio6-iii6-I6-IV6,G major
"Corelli, Arcangelo",Op3No06,3,30-31,I6-IV6-ii6-V65,G major
"Corelli, Arcangelo",Op3No06,3,32-33,V-I-vi6-ii,G major
"Corelli, Arcangelo",Op3No06,3,33-34,vi6-ii-viio6-iii,G major
"Corelli, Arcangelo",Op3No06,3,33-34,viio6-iii-I6-IV,G major
"Corelli, Arcangelo",Op3No06,3,34-35,I6-IV-ii6-V,G major
"Corelli, Arcangelo",Op3No06,3,34-35,ii6-V-iii6-vi,G major
"Corelli, Arcangelo",Op3No07,1,1-2,V65/III-III-V65/iv-iv[add9],E minor
"Corelli, Arcangelo",Op3No07,1,6-7,V65/III-III-V65/iv-iv[add9],B minor
"Corelli, Arcangelo",Op3No07,4,15-16,V7/IV-IV-ii6-V,G major
"Corelli, Arcangelo",Op3No07,4,16-16,ii6-V-iii6-vi,G major
"Corelli, Arcangelo",Op3No07,4,17-19,V-I-V7-i,G major-A minor
"Corelli, Arcangelo",Op3No07,4,22-23,i6-iv6-iio6-V7,E minor
"Corelli, Arcangelo",Op3No08,1,10-11,V-i-VI6-iio,A minor
"Corelli, Arcangelo",Op3No08,1,10-11,VI6-iio-VII6-VI,A minor-E minor
"Corelli, Arcangelo",Op3No08,1,14-15,V-I6-vi7-ii7,C major
"Corelli, Arcangelo",Op3No08,1,15-16,IM7-IVd7-V6/V-V,C major
"Corelli, Arcangelo",Op3No08,2,33-34,V/iii-i/iii-I6-IV,C major
"Corelli, Arcangelo",Op3No08,2,33-34,I6-IV-ii6-V,C major
"Corelli, Arcangelo",Op3No08,2,34-35,ii6-V-iii6-vi,C major
"Corelli, Arcangelo",Op3No08,3,12-13,V65/V-#viio/vi-V/vi-i[add9]/vi,C major
"Corelli, Arcangelo",Op3No08,3,19-20,V65/V-viio-V7-i[add9],C major-A minor
"Corelli, Arcangelo",Op3No10,2,31-32,V7-i-VI6-iio,A minor
"Corelli, Arcangelo",Op3No10,2,31-32,VI6-iio-VII6-III,A minor
"Corelli, Arcangelo",Op3No10,2,32-33,VII6-III-i6-IV,A minor
"Corelli, Arcangelo",Op3No10,2,32-33,i6-IV-ii6-V,A minor
"Corelli, Arcangelo",Op3No10,2,33-34,ii6-V-III+6-VI,A minor
"Corelli, Arcangelo",Op3No10,4,12-12,V-i6-VIM7-iiø7,E minor
"Corelli, Arcangelo",Op3No11,2,31-32,V-I-i6-IV,Bb major-G minor
"Corelli, Arcangelo",Op3No11,4,20-21,IVd65-viio-V7-I[add9],Bb major
"Corelli, Arcangelo",Op3No11,4,34-35,IVd65-viio-V-i[add9],G minor
"Corelli, Arcangelo",Op3No12,4,9-10,I-IV-ii-V,A major
"Corelli, Arcangelo",Op3No12,4,10-11,ii-V-iii-vi,A major
"Corelli, Arcangelo",Op3No12,4,23-25,I-IV-ii-V,A major
"Corelli, Arcangelo",Op3No12,4,24-26,ii-V-iii-vi,A major
"Corelli, Arcangelo",Op3No12,5,1-4,I-IV-V6/V-V,A major
"Corelli, Arcangelo",Op3No12,5,5-6,I-IV-ii6-V,A major
"Corelli, Arcangelo",Op3No12,5,6-6,ii6-V-iii6-vi,A major
"Corelli, Arcangelo",Op3No12,5,6-6,iii6-vi-IV6-viio,A major
"Corelli, Arcangelo",Op3No12,5,6-7,IV6-viio-V6-I,A major
"Corelli, Arcangelo",Op3No12,6,6-7,ii6-V-iii6-vi,A major
"Corelli, Arcangelo",Op3No12,6,7-8,iii6-vi-IV6-viio,A major
"Corelli, Arcangelo",Op3No12,6,7-8,IV6-viio-V6-I,A major
"Corelli, Arcangelo",Op3No12,6,18-19,i-iv[add9]-iio6-V7,F# minor
"Corelli, Arcangelo",Op3No12,6,28-29,I6-IV-ii6-V,A major
"Corelli, Arcangelo",Op3No12,6,29-30,ii6-V-iii6-vi,A major
"Corelli, Arcangelo",Op3No12,7,9-10,V7/V-V-iii6-vi2,A major
