COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Corelli, Arcangelo",Op1No01,1,3,viiø7/V,F major
"Corelli, Arcangelo",Op1No01,1,10,V6/V,F major
"Corelli, Arcangelo",Op1No01,1,10,V65/V,F major
"Corelli, Arcangelo",Op1No01,1,12,V6/V,F major
"Corelli, Arcangelo",Op1No01,1,12,V65/V,F major
"Corelli, Arcangelo",Op1No01,2,17,viio6/IV,C major
"Corelli, Arcangelo",Op1No01,2,27,V/V,F major
"Corelli, Arcangelo",Op1No01,2,31,V7/V,F major
"Corelli, Arcangelo",Op1No01,2,32,V/V,F major
"Corelli, Arcangelo",Op1No01,3,10,viio/VI,D minor
"Corelli, Arcangelo",Op1No01,3,13,V65/III,D minor
"Corelli, Arcangelo",Op1No01,3,18,V7/V,F major
"Corelli, Arcangelo",Op1No01,3,20,viio6/iv,D minor
"Corelli, Arcangelo",Op1No01,3,28,V6/V,F major
"Corelli, Arcangelo",Op1No02,1,2,V/iv,E minor
"Corelli, Arcangelo",Op1No02,1,2,V2/iv,E minor
"Corelli, Arcangelo",Op1No02,1,2,V6/iv,E minor
"Corelli, Arcangelo",Op1No02,1,6,V/iv,B minor
"Corelli, Arcangelo",Op1No02,1,6,V2/iv,B minor
"Corelli, Arcangelo",Op1No02,1,6,V6/iv,B minor
"Corelli, Arcangelo",Op1No02,1,9,viio6/iv,E minor
"Corelli, Arcangelo",Op1No02,1,10,V7/V,G major
"Corelli, Arcangelo",Op1No02,1,14,V7/iv,A minor
"Corelli, Arcangelo",Op1No02,1,17,V/iv,A minor
"Corelli, Arcangelo",Op1No02,1,17,V7/iv,A minor
"Corelli, Arcangelo",Op1No02,1,18,V65/iv,E minor
"Corelli, Arcangelo",Op1No02,2,4,V6/III,E minor
"Corelli, Arcangelo",Op1No02,2,4,V7/III,E minor
"Corelli, Arcangelo",Op1No02,2,18,viio/iv,B minor
"Corelli, Arcangelo",Op1No02,4,34,V7/V,G major
"Corelli, Arcangelo",Op1No02,4,49,V65/VII,E minor
"Corelli, Arcangelo",Op1No02,4,74,V7/V,G major
"Corelli, Arcangelo",Op1No02,4,75,V7/V,G major
"Corelli, Arcangelo",Op1No03,2,2,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,2,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,7,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,7,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,16,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,16,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,25,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,25,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,31,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,31,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,31,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,37,V[no3][add4]/V,A major
"Corelli, Arcangelo",Op1No03,2,37,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,46,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,46,V7/V,A major
"Corelli, Arcangelo",Op1No03,2,53,viio7/V,A major
"Corelli, Arcangelo",Op1No03,3,7,viio6/V,A major
"Corelli, Arcangelo",Op1No03,3,11,viio/IV,A major
"Corelli, Arcangelo",Op1No03,4,13,V6/V,A major
"Corelli, Arcangelo",Op1No03,4,56,V43/V,A major
"Corelli, Arcangelo",Op1No03,4,73,V7/V,A major
"Corelli, Arcangelo",Op1No03,4,77,V43/V,A major
"Corelli, Arcangelo",Op1No04,1,3,V/V,A minor
"Corelli, Arcangelo",Op1No04,1,16,V6/III,A minor
"Corelli, Arcangelo",Op1No04,1,19,viio6/V,A minor
"Corelli, Arcangelo",Op1No04,2,7,V/iv,A minor
