key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
A- major	[0.094, 0.09, 0.012, 0.314, 0.0, 0.06, 0.028, 0.086, 0.132, 0.008, 0.164, 0.012]	0.0	20.0	20.0	1	7	6
b- minor	[0.064, 0.329, 0.0, 0.032, 0.0, 0.202, 0.0, 0.0, 0.0, 0.032, 0.34, 0.0]	20.0	23.5	3.5	7	8	1
A- major	[0.093, 0.101, 0.017, 0.244, 0.0, 0.061, 0.038, 0.073, 0.164, 0.019, 0.176, 0.013]	23.5	44.0	20.5	8	15	7
b- minor	[0.061, 0.313, 0.0, 0.03, 0.0, 0.354, 0.0, 0.0, 0.0, 0.03, 0.212, 0.0]	44.0	47.5	3.5	15	16	1
A- major	[0.09, 0.137, 0.013, 0.286, 0.023, 0.035, 0.014, 0.101, 0.146, 0.014, 0.131, 0.01]	47.5	75.0	27.5	16	26	10
G- major	[0.0, 0.264, 0.0, 0.138, 0.0, 0.038, 0.164, 0.0, 0.201, 0.0, 0.195, 0.0]	75.0	81.0	6.0	26	28	2
F- major	[0.0, 0.138, 0.0, 0.038, 0.164, 0.0, 0.201, 0.0, 0.195, 0.0, 0.0, 0.264]	81.0	87.0	6.0	28	30	2
C- major	[0.0, 0.169, 0.0, 0.214, 0.078, 0.0, 0.308, 0.0, 0.02, 0.0, 0.062, 0.149]	87.0	98.5	11.5	30	33	3
A- major	[0.052, 0.151, 0.007, 0.371, 0.0, 0.043, 0.0, 0.098, 0.132, 0.0, 0.115, 0.031]	98.5	114.0	15.5	33	39	6
D- major	[0.063, 0.157, 0.0, 0.289, 0.0, 0.019, 0.164, 0.0, 0.195, 0.113, 0.0, 0.0]	114.0	120.0	6.0	39	41	2
f minor	[0.138, 0.159, 0.0, 0.0, 0.022, 0.232, 0.0, 0.174, 0.087, 0.0, 0.188, 0.0]	120.0	125.0	5.0	41	42	1
A- major	[0.041, 0.18, 0.0, 0.393, 0.006, 0.064, 0.0, 0.086, 0.112, 0.0, 0.118, 0.0]	125.0	141.0	16.0	42	47	5
