key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a minor	[1.0, 0.0, 0.857, 0.0, 0.714, 0.738, 0.0, 0.0, 0.19, 0.786, 0.571, 0.429]	0.0	11.0	11.0	0	6	6
C major	[1.0, 0.0, 0.667, 0.0, 0.333, 0.556, 0.0, 0.556, 0.0, 0.389, 0.0, 0.889]	11.0	13.5	0.5	6	7	1
a minor	[1.0, 0.0, 0.741, 0.0, 1.0, 0.574, 0.0, 0.0, 0.352, 0.87, 0.444, 0.389]	13.5	27.0	1.0	7	14	7
C major	[1.0, 0.0, 0.667, 0.0, 0.333, 0.556, 0.0, 0.556, 0.0, 0.389, 0.0, 0.889]	27.0	29.5	0.5	14	15	1
a minor	[0.895, 0.0, 0.754, 0.0, 1.0, 0.509, 0.0, 0.0, 0.333, 0.825, 0.421, 0.368]	29.5	43.0	1.0	15	22	7
C major	[1.0, 0.0, 0.667, 0.0, 0.333, 0.556, 0.0, 0.556, 0.0, 0.389, 0.0, 0.889]	43.0	45.5	0.5	22	23	1
a minor	[0.125, 0.0, 0.25, 0.0, 1.0, 0.0, 0.0, 0.0, 0.687, 0.625, 0.0, 0.25]	45.5	47.0	1.0	23	24	1
d minor	[0.0, 0.25, 0.146, 0.0, 0.271, 0.125, 0.0, 0.188, 0.0, 1.0, 0.0, 0.042]	47.0	52.5	1.5	24	27	3
F major	[0.844, 0.0, 0.938, 0.0, 0.562, 0.687, 0.0, 1.0, 0.0, 0.375, 0.75, 0.0]	52.5	57.5	2.0	27	29	2
a minor	[0.221, 0.015, 0.276, 0.0, 0.42, 0.313, 0.0, 0.037, 0.117, 1.0, 0.037, 0.125]	57.5	74.5	0.5	29	37	8
